"Year";"Correlation";"parameter"
2015;-0.25665208448062;"Lyman alpha solar index"
2015;-0.249855661958572;"Solar index_F10.7"
2015;-0.178791926059144;"Proton flux over 10 MeV"
2015;0.152207977795512;"Dst index"
2015;0.112659144480324;"R sunspot number"
2015;-0.0962754008335127;"Solar wind temperature"
2015;-0.0924076631185354;"Kp index"
2015;-0.084681314141104;"Proton flux over 30 MeV"
2015;0.0752910289120459;"Proton flux over 60 MeV"
2015;-0.0687687033903765;"Ap index"
2015;-0.0550436486452356;"Solar wind speed"
2015;0.0333489500794656;"AU index"
2015;0.0213993225947436;"AE index"
2015;-0.0147882074864;"AL index"
2015;0.000569929073278003;"Solar wind density"
