"Week";"Correlation"
1;-0.262650548247909
2;-0.23823514789636
3;-0.231923464408904
4;-0.226709648443264
5;-0.214760223302139
6;-0.20994115914967
7;-0.202871252634975
8;-0.202029656750497
9;-0.192438815708407
10;-0.195302717139078
11;-0.183124698819194
12;-0.183983426312273
13;-0.176846918046425
14;-0.179205773437098
15;-0.18404498453353
16;-0.182249177619209
17;-0.173965144138268
18;-0.170188972067497
19;-0.187867192648817
20;-0.179670158068298
21;-0.178366665944662
22;-0.185616666478865
23;-0.204582882684435
24;-0.200844249779277
25;-0.200311280611243
26;-0.196631645975545
27;-0.211068189621567
28;-0.201032263615677
29;-0.198925053234069
30;-0.192822910516013
31;-0.194603043627166
32;-0.207181183258016
33;-0.202608203558858
34;-0.194973593822681
35;-0.205079413558855
36;-0.197617686665024
37;-0.19376650801217
38;-0.187311389846028
39;-0.183970986602568
40;-0.172980948883997
41;-0.163623742438721
42;-0.164734963667717
43;-0.173027104898107
44;-0.171713750200711
45;-0.160289226000892
46;-0.162475977878364
47;-0.156709345967648
48;-0.15733162457059
49;-0.135604949272541
50;-0.1148281869653
51;-0.1165681306995
52;-0.104533125934271
53;-0.101201424268065
54;-0.100655635616699
55;-0.091047506961591
56;-0.0722754972960305
57;-0.056652702180689
58;-0.0518773603334193
59;-0.0508301398571935
60;-0.0488550092990977
61;-0.0783410108727324
62;-0.0741794880642999
63;-0.0599243511945312
64;-0.0546854944565043
65;-0.0551185828975351
66;-0.0509563212295713
67;-0.0455447412745235
68;-0.0457375673325815
69;-0.0453045912443707
70;-0.0434980605939114
71;-0.0431965317830531
72;-0.0381464478864817
73;-0.0348010270069223
74;-0.0506816569778611
75;-0.0523385437602279
76;-0.0517251079102025
77;-0.0506133318670965
78;-0.0546609235405786
79;-0.0526554224481868
80;-0.0505615930106124
81;-0.0489335771590309
82;-0.0552494833661845
83;-0.0554473963977374
84;-0.0493256005113939
85;-0.0473682765255448
86;-0.0406542730917763
87;-0.0364339234728065
88;-0.0385382246457632
89;-0.0466197550752697
90;-0.0625799472763349
91;-0.0627595931881329
92;-0.106314704344845
93;-0.108016017007477
94;-0.103148023847312
95;-0.0879527735205734
96;-0.0856285158193249
97;-0.0858053661884736
98;-0.0899195862548009
99;-0.0854384380046504
100;-0.0890542663726969
101;-0.0862724137385156
102;-0.0749251438988475
103;-0.054902322481319
104;-0.0394014040850435
105;-0.0390917187182183
106;-0.0629785168256014
107;-0.0920089354865773
