Week;Zraneni;AE
32.tyzden.2013;27;150.321429
33.tyzden.2013;26;222.952381
34.tyzden.2013;12;223.083333
35.tyzden.2013;19;210.964286
36.tyzden.2013;19;114.386905
37.tyzden.2013;19;106.113095
38.tyzden.2013;20;138.023810
39.tyzden.2013;14;68.047619
40.tyzden.2013;9;121.892857
41.tyzden.2013;24;147.791667
42.tyzden.2013;23;171.857143
43.tyzden.2013;19;39.970238
44.tyzden.2013;18;123.494048
45.tyzden.2013;19;158.285715
46.tyzden.2013;20;139.428571
47.tyzden.2013;10;57.928571
48.tyzden.2013;13;74.303571
49.tyzden.2013;20;108.160714
50.tyzden.2013;12;82.202381
51.tyzden.2013;18;71.279762
52.tyzden.2013;20;64.398148
1.tyzden.2014;15;179.450000
2.tyzden.2014;15;103.726191
3.tyzden.2014;11;56.583333
4.tyzden.2014;8;102.160714
5.tyzden.2014;15;66.220238
6.tyzden.2014;21;147.345238
7.tyzden.2014;19;101.255952
8.tyzden.2014;24;298.035714
9.tyzden.2014;11;120.726191
10.tyzden.2014;20;77.339286
11.tyzden.2014;11;92.184524
12.tyzden.2014;13;88.672619
13.tyzden.2014;12;102.750000
14.tyzden.2014;15;100.553572
15.tyzden.2014;23;209.636905
16.tyzden.2014;11;150.154762
17.tyzden.2014;10;172.750000
18.tyzden.2014;14;194.440476
19.tyzden.2014;11;204.416667
20.tyzden.2014;17;96.613095
21.tyzden.2014;19;143.815476
22.tyzden.2014;13;107.595238
23.tyzden.2014;20;168.107143
24.tyzden.2014;16;118.654762
25.tyzden.2014;13;189.089286
26.tyzden.2014;11;108.815476
27.tyzden.2014;16;103.255952
28.tyzden.2014;25;174.511905
29.tyzden.2014;22;76.184524
30.tyzden.2014;17;107.863095
31.tyzden.2014;12;139.226190
32.tyzden.2014;9;186.113095
33.tyzden.2014;16;110.250000
34.tyzden.2014;24;139.916667
35.tyzden.2014;11;281.285714
36.tyzden.2014;17;197.988095
37.tyzden.2014;11;145.791667
38.tyzden.2014;17;98.011905
39.tyzden.2014;17;278.827381
40.tyzden.2014;17;164.666667
41.tyzden.2014;19;157.148809
42.tyzden.2014;16;180.035714
43.tyzden.2014;25;276.672619
44.tyzden.2014;13;149.369048
45.tyzden.2014;19;143.297619
46.tyzden.2014;11;182.392857
47.tyzden.2014;14;198.738095
48.tyzden.2014;21;97.642857
49.tyzden.2014;18;199.202381
50.tyzden.2014;20;211.172619
51.tyzden.2014;18;179.107143
52.tyzden.2014;18;201.404167
1.tyzden.2015;6;231.916667
2.tyzden.2015;6;188.976191
3.tyzden.2015;22;111.000000
4.tyzden.2015;9;116.958333
5.tyzden.2015;24;193.958333
6.tyzden.2015;12;202.511905
7.tyzden.2015;4;85.625000
8.tyzden.2015;6;172.666667
9.tyzden.2015;6;204.458333
tyzden.2015;8;225.011905
11.tyzden.2015;10;117.791667
12.tyzden.2015;14;345.970238
13.tyzden.2015;12;192.166666
tyzden.2015;14;129.077381
15.tyzden.2015;15;183.541667
16.tyzden.2015;9;314.345238
tyzden.2015;11;145.482143
18.tyzden.2015;15;135.238095
19.tyzden.2015;17;166.886905
20.tyzden.2015;21;324.035714
21.tyzden.2015;19;120.839286
22.tyzden.2015;18;108.708333
23.tyzden.2015;33;91.053571
24.tyzden.2015;22;308.678571
25.tyzden.2015;11;215.321428
