Date;Lyman;
1.1.-9.1.2010;3.623333;
10.1.-16.1.2010;3.784286;
17.1.-23.1.2010;3.682857;
24.1.-30.1.2010;3.687143;
31.1.-6.2.2010;3.654286;
7.2.-13.2.2010;3.891429;
14.2.-20.2.2010;3.847143;
21.2.-27.2.2010;3.765714;
28.2.-6.3.2010;3.714286;
7.3.-13.3.2010;3.802857;
14.3.-20.3.2010;3.898571;
21.3.-27.3.2010;3.817143;
28.3.-3.4.2010;3.737143;
4.4.-10.4.2010;3.801429;
11.4.-17.4.2010;3.760000;
18.4.-24.4.2010;3.760000;
25.4.-1.5.2010;3.805714;
2.5.-8.5.2010;3.870000;
9.5.-15.5.2010;3.730000;
16.5.-22.5.2010;3.675714;
23.5.-29.5.2010;3.751429;
30.5.-5.6.2010;3.740000;
6.6.-12.6.2010;3.671429;
13.6.-19.6.2010;3.725714;
20.6.-26.6.2010;3.775714;
27.6.-3.7.2010;3.815714;
4.7.-10.7.2010;3.770000;
11.7.-17.7.2010;3.864286;
18.7.-24.7.2010;3.862857;
25.7.-31.7.2010;3.912857;
1.8.-7.8.2010;3.880000;
8.8.-14.8.2010;3.958571;
15.8.-21.8.2010;3.840000;
22.8.-28.8.2010;3.750000;
29.8.-4.9.2010;3.814286;
5.9.-11.9.2010;3.855714;
12.9.-18.9.2010;3.892857;
19.9.-25.9.2010;3.914286;
26.9.-2.10.2010;3.848571;
3.10.-9.10.2010;3.750000;
10.10.-16.10.2010;3.837143;
17.10.-23.10.2010;3.922857;
24.10.-30.10.2010;3.845714;
31.10.-6.11.2010;3.691429;
7.11.-13.11.2010;3.912857;
14.11.-20.11.2010;3.934286;
21.11.-27.11.2010;3.832857;
28.11.-4.12.2010;3.784286;
5.12.-11.12.2010;3.912857;
12.12.-18.12.2010;3.912857;
19.12.-25.12.2010;3.888571;
26.12.-31.12.2010;3.741667;
