Date;Lyman;
1.1.-5.1.2014;4.888000;
6.1.-12.1.2014;5.035714;
13.1.-19.1.2014;4.634286;
20.1.-26.1.2014;4.754286;
27.1.-2.2.2014;4.834286;
3.2.-9.2.2014;5.107143;
10.2.-16.2.2014;4.714286;
17.2.-23.2.2014;4.647143;
24.2.-2.3.2014;5.072857;
3.3.-9.3.2014;4.968571;
10.3.-16.3.2014;4.755714;
17.3.-23.3.2014;4.942857;
24.3.-30.3.2014;5.050000;
31.3.-6.4.2014;4.905714;
7.4.-13.4.2014;4.708571;
14.4.-20.4.2014;5.078571;
21.4.-27.4.2014;4.787143;
28.4.-4.5.2014;4.620000;
5.5.-11.5.2014;4.711429;
12.5.-18.5.2014;4.958571;
19.5.-25.5.2014;4.584286;
26.5.-1.6.2014;4.408571;
2.6.-8.6.2014;4.592857;
9.6.-15.6.2014;4.864286;
16.6.-22.6.2014;4.464286;
23.6.-29.6.2014;4.224286;
30.6.-6.7.2014;5.081429;
7.7.-13.7.2014;5.061429;
14.7.-20.7.2014;4.230000;
21.7.-27.7.2014;4.161429;
28.7.-3.8.2014;5.025714;
4.8.-10.8.2014;4.778571;
11.8.-17.8.2014;4.274286;
18.8.-24.8.2014;4.495714;
25.8.-31.8.2014;4.797143;
1.9.-7.9.2014;4.668571;
8.9.-14.9.2014;4.788571;
15.9.-21.9.2014;4.612857;
22.9.-28.9.2014;4.800000;
29.9.-5.10.2014;4.895714;
6.10.-12.10.2014;4.742857;
13.10.-19.10.2014;4.612857;
20.10.-26.10.2014;5.015714;
27.10.-2.11.2014;4.737143;
3.11.-9.11.2014;4.651429;
10.11.-16.11.2014;4.814286;
17.11.-23.11.2014;5.117143;
24.11.-30.11.2014;4.974286;
1.12.-7.12.2014;4.794286;
8.12.-14.12.2014;4.917143;
15.12.-21.12.2014;5.281429;
22.12.-31.12.2014;4.746000;
