Date;Lyman;
1.1.-10.1.2016;4.256000;
11.1.-17.1.2016;4.362857;
18.1.-24.1.2016;4.257143;
25.1.-31.1.2016;4.202857;
1.2.-7.2.2016;4.414286;
8.2.-14.2.2016;4.422857;
15.2.-21.2.2016;4.234286;
22.2.-28.2.2016;4.171429;
29.2.-6.3.2016;4.310000;
7.3.-13.3.2016;4.218571;
14.3.-20.3.2016;4.122857;
21.3.-27.3.2016;4.051429;
28.3.-3.4.2016;4.060000;
4.4.-10.4.2016;4.012857;
11.4.-17.4.2016;4.091429;
18.4.-24.4.2016;3.932857;
25.4.-1.5.2016;4.045714;
2.5.-8.5.2016;4.074286;
9.5.-15.5.2016;4.070000;
16.5.-22.5.2016;4.067143;
23.5.-29.5.2016;4.020000;
30.5.-5.6.2016;4.038571;
6.6.-12.6.2016;3.965714;
13.6.-19.6.2016;4.058571;
20.6.-26.6.2016;3.945714;
27.6.-3.7.2016;3.902857;
4.7.-10.7.2016;3.952857;
11.7.-17.7.2016;4.232857;
18.7.-24.7.2016;3.961429;
25.7.-31.7.2016;3.792857;
1.8.-7.8.2016;3.852857;
8.8.-14.8.2016;4.090000;
15.8.-21.8.2016;3.890000;
22.8.-28.8.2016;3.884286;
29.8.-4.9.2016;3.921429;
5.9.-11.9.2016;4.041429;
12.9.-18.9.2016;3.895714;
19.9.-25.9.2016;3.960000;
26.9.-2.10.2016;3.861429;
3.10.-9.10.2016;4.031429;
10.10.-16.10.2016;3.915714;
17.10.-23.10.2016;3.800000;
24.10.-30.10.2016;3.741429;
31.10.-6.11.2016;3.888571;
7.11.-13.11.2016;3.770000;
14.11.-20.11.2016;3.800000;
21.11.-27.11.2016;3.770000;
28.11.-4.12.2016;3.912857;
5.12.-11.12.2016;3.707143;
12.12.-18.12.2016;3.658571;
19.12.-25.12.2016;3.711429;
26.12.-31.12.2016;3.748333;
