Date;Lyman;
1.1.-4.1.2015;4.607500;
5.1.-11.1.2015;4.900000;
12.1.-18.1.2015;5.015714;
19.1.-25.1.2015;4.524286;
26.1.-1.2.2015;4.771429;
2.2.-8.2.2015;5.134286;
9.2.-15.2.2015;5.024286;
16.2.-22.2.2015;4.542857;
23.2.-1.3.2015;4.671429;
2.3.-8.3.2015;4.860000;
9.3.-15.3.2015;4.730000;
16.3.-22.3.2015;4.384286;
23.3.-29.3.2015;4.927143;
30.3.-5.4.2015;4.884286;
6.4.-12.4.2015;4.720000;
13.4.-19.4.2015;4.684286;
20.4.-26.4.2015;5.040000;
27.4.-3.5.2015;4.601429;
4.5.-10.5.2015;4.677143;
11.5.-17.5.2015;4.922857;
18.5.-24.5.2015;4.688571;
25.5.-31.5.2015;4.317143;
1.6.-7.6.2015;4.567143;
8.6.-14.6.2015;4.864286;
15.6.-21.6.2015;4.620000;
22.6.-28.6.2015;4.215714;
29.6.-5.7.2015;4.517143;
6.7.-12.7.2015;4.820000;
13.7.-19.7.2015;4.517143;
20.7.-26.7.2015;4.164286;
27.7.-2.8.2015;4.451429;
3.8.-9.8.2015;4.557143;
10.8.-16.8.2015;4.318571;
17.8.-23.8.2015;4.170000;
24.8.-30.8.2015;4.331429;
31.8.-6.9.2015;4.298571;
7.9.-13.9.2015;4.140000;
14.9.-20.9.2015;4.238571;
21.9.-27.9.2015;4.442857;
28.9.-4.10.2015;4.274286;
5.10.-11.10.2015;3.928571;
12.10.-18.10.2015;4.221429;
19.10.-25.10.2015;4.627143;
26.10.-1.11.2015;4.228571;
2.11.-8.11.2015;4.141429;
9.11.-15.11.2015;4.411429;
16.11.-22.11.2015;4.567143;
23.11.-29.11.2015;4.301429;
30.11.-6.12.2015;4.122857;
7.12.-13.12.2015;4.388571;
14.12.-20.12.2015;4.502857;
21.12.-31.12.2015;4.319091;
