Date;Lyman;
1.1.-7.1.2018;3.558571;
8.1.-14.1.2018;3.610000;
15.1.-21.1.2018;3.625714;
22.1.-28.1.2018;3.540000;
29.1.-4.2.2018;3.547143;
5.2.-11.2.2018;3.624286;
12.2.-18.2.2018;3.618571;
19.2.-25.2.2018;3.500000;
26.2.-4.3.2018;3.497143;
5.3.-11.3.2018;3.548571;
12.3.-18.3.2018;3.547143;
19.3.-25.3.2018;3.511429;
26.3.-1.4.2018;3.508571;
2.4.-8.4.2018;3.560000;
9.4.-15.4.2018;3.567143;
16.4.-22.4.2018;3.534286;
23.4.-29.4.2018;3.552857;
30.4.-6.5.2018;3.527143;
7.5.-13.5.2018;3.587143;
14.5.-20.5.2018;3.562857;
21.5.-27.5.2018;3.584286;
28.5.-3.6.2018;3.611429;
4.6.-10.6.2018;3.588571;
11.6.-17.6.2018;3.601429;
18.6.-24.6.2018;3.648571;
25.6.-1.7.2018;3.597143;
2.7.-8.7.2018;3.538571;
9.7.-15.7.2018;3.637143;
16.7.-22.7.2018;3.644286;
23.7.-29.7.2018;3.551429;
30.7.-5.8.2018;3.561429;
6.8.-12.8.2018;3.607143;
13.8.-19.8.2018;3.550000;
20.8.-26.8.2018;3.540000;
27.8.-2.9.2018;3.521429;
3.9.-9.9.2018;3.555714;
10.9.-16.9.2018;3.570000;
17.9.-23.9.2018;3.532857;
24.9.-30.9.2018;3.528571;
1.10.-7.10.2018;3.541429;
8.10.-14.10.2018;3.568571;
15.10.-21.10.2018;3.541429;
22.10.-28.10.2018;3.522857;
29.10.-4.11.2018;3.521429;
5.11.-11.11.2018;3.501429;
12.11.-18.11.2018;3.514286;
19.11.-25.11.2018;3.517143;
26.11.-2.12.2018;3.502857;
3.12.-9.12.2018;3.507143;
10.12.-16.12.2018;3.545714;
17.12.-23.12.2018;3.521429;
24.12.-30.12.2018;3.534286;
