Date;Lyman;
1.1.-8.1.2012;4.605000;
9.1.-15.1.2012;4.414286;
16.1.-22.1.2012;4.585714;
23.1.-29.1.2012;4.417143;
30.1.-5.2.2012;4.427143;
6.2.-12.2.2012;4.241429;
13.2.-19.2.2012;4.315714;
20.2.-26.2.2012;4.307143;
27.2.-4.3.2012;4.400000;
5.3.-11.3.2012;4.327143;
12.3.-18.3.2012;4.241429;
19.3.-25.3.2012;4.280000;
26.3.-1.4.2012;4.410000;
2.4.-8.4.2012;4.277143;
9.4.-15.4.2012;4.214286;
16.4.-22.4.2012;4.544286;
23.4.-29.4.2012;4.445714;
30.4.-6.5.2012;4.288571;
7.5.-13.5.2012;4.370000;
14.5.-20.5.2012;4.622857;
21.5.-27.5.2012;4.455714;
28.5.-3.6.2012;4.390000;
4.6.-10.6.2012;4.625714;
11.6.-17.6.2012;4.582857;
18.6.-24.6.2012;4.131429;
25.6.-1.7.2012;4.287143;
2.7.-8.7.2012;4.534286;
9.7.-15.7.2012;4.598571;
16.7.-22.7.2012;4.100000;
23.7.-29.7.2012;4.312857;
30.7.-5.8.2012;4.635714;
6.8.-12.8.2012;4.571429;
13.8.-19.8.2012;4.110000;
20.8.-26.8.2012;4.290000;
27.8.-2.9.2012;4.662857;
3.9.-9.9.2012;4.617143;
10.9.-16.9.2012;4.124286;
17.9.-23.9.2012;4.408571;
24.9.-30.9.2012;4.858571;
1.10.-7.10.2012;4.332857;
8.10.-14.10.2012;4.122857;
15.10.-21.10.2012;4.764286;
22.10.-28.10.2012;4.712857;
29.10.-4.11.2012;4.151429;
5.11.-11.11.2012;4.180000;
12.11.-18.11.2012;4.815714;
19.11.-25.11.2012;4.661429;
26.11.-2.12.2012;4.221429;
3.12.-9.12.2012;4.181429;
10.12.-16.12.2012;4.458571;
17.12.-23.12.2012;4.404286;
24.12.-31.12.2012;4.257500;
