Date;Lyman;
1.1.-9.1.2011;3.966667;
10.1.-16.1.2011;3.798571;
17.1.-23.1.2011;3.820000;
24.1.-30.1.2011;3.710000;
31.1.-6.2.2011;3.872857;
7.2.-13.2.2011;3.925714;
14.2.-20.2.2011;4.040000;
21.2.-27.2.2011;3.764286;
28.2.-6.3.2011;4.045714;
7.3.-13.3.2011;4.175714;
14.3.-20.3.2011;3.957143;
21.3.-27.3.2011;3.964286;
28.3.-3.4.2011;4.427143;
4.4.-10.4.2011;4.360000;
11.4.-17.4.2011;4.217143;
18.4.-24.4.2011;4.148571;
25.4.-1.5.2011;4.364286;
2.5.-8.5.2011;4.327143;
9.5.-15.5.2011;4.192857;
16.5.-22.5.2011;4.011429;
23.5.-29.5.2011;4.102857;
30.5.-5.6.2011;4.328571;
6.6.-12.6.2011;4.132857;
13.6.-19.6.2011;4.098571;
20.6.-26.6.2011;4.205714;
27.6.-3.7.2011;4.072857;
4.7.-10.7.2011;3.988571;
11.7.-17.7.2011;4.202857;
18.7.-24.7.2011;4.192857;
25.7.-31.7.2011;4.095714;
1.8.-7.8.2011;4.142857;
8.8.-14.8.2011;4.115714;
15.8.-21.8.2011;4.105714;
22.8.-28.8.2011;4.230000;
29.8.-4.9.2011;4.255714;
5.9.-11.9.2011;4.262857;
12.9.-18.9.2011;4.471429;
19.9.-25.9.2011;4.542857;
26.9.-2.10.2011;4.522857;
3.10.-9.10.2011;4.535714;
10.10.-16.10.2011;4.605714;
17.10.-23.10.2011;4.692857;
24.10.-30.10.2011;4.544286;
31.10.-6.11.2011;4.578571;
7.11.-13.11.2011;5.002857;
14.11.-20.11.2011;4.824286;
21.11.-27.11.2011;4.687143;
28.11.-4.12.2011;4.718571;
5.12.-11.12.2011;4.928571;
12.12.-18.12.2011;4.662857;
19.12.-25.12.2011;4.685714;
26.12.-31.12.2011;4.596667;
