Date;Lyman;
1.1.-8.1.2017;3.700000;
9.1.-15.1.2017;3.661429;
16.1.-22.1.2017;3.842857;
23.1.-29.1.2017;3.818571;
30.1.-5.2.2017;3.654286;
6.2.-12.2.2017;3.635714;
13.2.-19.2.2017;3.735714;
20.2.-26.2.2017;3.810000;
27.2.-5.3.2017;3.747143;
6.3.-12.3.2017;3.625714;
13.3.-19.3.2017;3.644286;
20.3.-26.3.2017;3.697143;
27.3.-2.4.2017;3.718571;
3.4.-9.4.2017;3.641429;
10.4.-16.4.2017;3.691429;
17.4.-23.4.2017;3.804286;
24.4.-30.4.2017;3.814286;
1.5.-7.5.2017;3.632857;
8.5.-14.5.2017;3.614286;
15.5.-21.5.2017;3.727143;
22.5.-28.5.2017;3.755714;
29.5.-4.6.2017;3.660000;
5.6.-11.6.2017;3.717143;
12.6.-18.6.2017;3.790000;
19.6.-25.6.2017;3.744286;
26.6.-2.7.2017;3.651429;
3.7.-9.7.2017;3.664286;
10.7.-16.7.2017;3.790000;
17.7.-23.7.2017;3.645714;
24.7.-30.7.2017;3.621429;
31.7.-6.8.2017;3.651429;
7.8.-13.8.2017;3.721429;
14.8.-20.8.2017;3.644286;
21.8.-27.8.2017;3.682857;
28.8.-3.9.2017;3.740000;
4.9.-10.9.2017;3.944286;
11.9.-17.9.2017;3.658571;
18.9.-24.9.2017;3.648571;
25.9.-1.10.2017;3.867143;
2.10.-8.10.2017;3.804286;
9.10.-15.10.2017;3.617143;
16.10.-22.10.2017;3.670000;
23.10.-29.10.2017;3.828571;
30.10.-5.11.2017;3.717143;
6.11.-12.11.2017;3.571429;
13.11.-19.11.2017;3.647143;
20.11.-26.11.2017;3.770000;
27.11.-3.12.2017;3.615714;
4.12.-10.12.2017;3.551429;
11.12.-17.12.2017;3.661429;
18.12.-24.12.2017;3.701429;
25.12.-31.12.2017;3.601429;
