"Year";"Correlation";"parameter"
"2011-2016";-0.0889468259282803;"Lyman alpha solar index"
"2011-2016";-0.0682132752759641;"Solar wind density"
"2011-2016";-0.0659661230173059;"Proton flux over 60 MeV"
"2011-2016";-0.0602881906068752;"Proton flux over 30 MeV"
"2011-2016";0.0539623034989916;"Polar cap south (Vostok)"
"2011-2016";-0.0484025636591489;"Proton flux over 10 MeV"
"2011-2016";0.0450046736148701;"Solar wind temperature"
"2011-2016";-0.0418195687607474;"Solar index_F10.7"
"2011-2016";0.0396653160077701;"Dst index"
"2011-2016";0.0313234547010109;"Solar wind speed"
"2011-2016";-0.027401543343272;"R sunspot number"
"2011-2016";-0.0246120204280399;"Polar cap north (Thule)"
"2011-2016";0.0237931513942884;"Ap index"
"2011-2016";-0.0124979902413754;"Kp index"
