Week;Zraneni;Ap
1.tyzden.2014;15;9.375000
2.tyzden.2014;15;5.500000
3.tyzden.2014;11;3.517857
4.tyzden.2014;8;5.964286
5.tyzden.2014;15;3.357143
6.tyzden.2014;21;9.535714
7.tyzden.2014;19;7.714286
8.tyzden.2014;24;18.678571
9.tyzden.2014;11;7.375000
10.tyzden.2014;20;4.125000
11.tyzden.2014;11;4.500000
12.tyzden.2014;13;4.839286
13.tyzden.2014;12;5.892857
14.tyzden.2014;15;5.339286
15.tyzden.2014;23;8.660714
16.tyzden.2014;11;9.482143
17.tyzden.2014;10;7.589286
18.tyzden.2014;14;6.964286
19.tyzden.2014;11;8.142857
20.tyzden.2014;17;4.089286
21.tyzden.2014;19;5.875000
22.tyzden.2014;13;4.196429
23.tyzden.2014;20;10.982143
24.tyzden.2014;16;4.750000
25.tyzden.2014;13;7.482143
26.tyzden.2014;11;4.517857
27.tyzden.2014;16;3.750000
28.tyzden.2014;25;5.535714
29.tyzden.2014;22;3.964286
30.tyzden.2014;17;4.535714
31.tyzden.2014;12;6.178571
32.tyzden.2014;9;6.857143
33.tyzden.2014;16;5.357143
34.tyzden.2014;24;6.017857
35.tyzden.2014;11;12.571429
36.tyzden.2014;17;8.017857
37.tyzden.2014;11;11.267857
38.tyzden.2014;17;7.285714
39.tyzden.2014;17;12.250000
40.tyzden.2014;17;7.464286
41.tyzden.2014;19;6.928571
42.tyzden.2014;16;9.946429
43.tyzden.2014;25;12.696429
44.tyzden.2014;13;7.785714
45.tyzden.2014;19;10.375000
46.tyzden.2014;11;12.928571
47.tyzden.2014;14;9.428571
48.tyzden.2014;21;5.178571
49.tyzden.2014;18;11.750000
50.tyzden.2014;20;10.964286
51.tyzden.2014;18;8.285714
52.tyzden.2014;18;13.150000
