Week;Zraneni;Ap
1.tyzden.2013;17;2.520833
2.tyzden.2013;22;4.553571
3.tyzden.2013;10;8.910714
4.tyzden.2013;21;6.196429
5.tyzden.2013;15;4.303571
6.tyzden.2013;11;4.339286
7.tyzden.2013;11;8.178571
8.tyzden.2013;11;6.500000
9.tyzden.2013;13;10.892857
10.tyzden.2013;12;3.571429
11.tyzden.2013;17;15.071429
12.tyzden.2013;9;7.821429
13.tyzden.2013;16;12.178571
14.tyzden.2013;7;3.785714
15.tyzden.2013;13;5.160714
16.tyzden.2013;14;2.535714
17.tyzden.2013;15;10.303571
18.tyzden.2013;14;9.392857
19.tyzden.2013;16;5.089286
20.tyzden.2013;34;10.464286
21.tyzden.2013;12;14.875000
22.tyzden.2013;11;15.285714
23.tyzden.2013;15;12.375000
24.tyzden.2013;25;4.303571
25.tyzden.2013;14;10.053571
26.tyzden.2013;18;16.607143
27.tyzden.2013;11;8.196429
28.tyzden.2013;21;14.250000
29.tyzden.2013;25;10.410714
30.tyzden.2013;16;7.232143
31.tyzden.2013;25;5.410714
32.tyzden.2013;27;5.785714
33.tyzden.2013;26;10.607143
34.tyzden.2013;12;9.357143
35.tyzden.2013;19;8.696429
36.tyzden.2013;19;5.142857
37.tyzden.2013;19;5.196429
38.tyzden.2013;20;7.232143
39.tyzden.2013;14;3.285714
40.tyzden.2013;9;10.089286
41.tyzden.2013;24;10.000000
42.tyzden.2013;23;8.339286
43.tyzden.2013;19;2.303571
44.tyzden.2013;18;5.803571
45.tyzden.2013;19;9.000000
46.tyzden.2013;20;7.928571
47.tyzden.2013;10;2.589286
48.tyzden.2013;13;4.017857
49.tyzden.2013;20;7.392857
50.tyzden.2013;12;4.892857
51.tyzden.2013;18;3.571429
52.tyzden.2013;20;2.722222
