Week;Zraneni;Ap
1.tyzden.2016;9;10.337500
2.tyzden.2016;18;7.982143
3.tyzden.2016;8;15.232143
4.tyzden.2016;16;3.714286
5.tyzden.2016;8;7.428571
6.tyzden.2016;11;9.232143
7.tyzden.2016;13;19.125000
8.tyzden.2016;16;4.553571
9.tyzden.2016;8;8.839286
10.tyzden.2016;7;10.875000
11.tyzden.2016;18;15.821429
12.tyzden.2016;6;6.482143
13.tyzden.2016;12;10.357143
14.tyzden.2016;12;7.178571
15.tyzden.2016;11;15.142857
16.tyzden.2016;14;6.785714
17.tyzden.2016;20;6.589286
18.tyzden.2016;11;20.321429
19.tyzden.2016;10;11.214286
20.tyzden.2016;12;9.178571
21.tyzden.2016;15;5.910714
22.tyzden.2016;20;8.857143
23.tyzden.2016;24;9.285714
24.tyzden.2016;14;9.357143
25.tyzden.2016;16;8.339286
26.tyzden.2016;15;6.267857
27.tyzden.2016;16;10.428571
28.tyzden.2016;27;9.714286
29.tyzden.2016;9;9.125000
30.tyzden.2016;12;8.428571
31.tyzden.2016;25;15.357143
32.tyzden.2016;27;8.982143
33.tyzden.2016;30;5.089286
34.tyzden.2016;15;9.017857
35.tyzden.2016;23;22.142857
36.tyzden.2016;24;9.017857
37.tyzden.2016;30;4.625000
38.tyzden.2016;18;9.535714
39.tyzden.2016;13;25.875000
40.tyzden.2016;19;9.892857
41.tyzden.2016;11;15.892857
42.tyzden.2016;16;7.232143
43.tyzden.2016;16;28.857143
44.tyzden.2016;17;8.500000
45.tyzden.2016;16;10.839286
46.tyzden.2016;17;4.160714
47.tyzden.2016;23;13.750000
48.tyzden.2016;13;3.250000
49.tyzden.2016;12;13.357143
50.tyzden.2016;21;4.053571
51.tyzden.2016;12;15.107143
52.tyzden.2016;9;9.145833
