Date;Proton30;
1.1.-8.1.2012;0.088854;
9.1.-15.1.2012;0.085476;
16.1.-22.1.2012;0.098929;
23.1.-29.1.2012;64.784048;
30.1.-5.2.2012;0.633155;
6.2.-12.2.2012;0.083631;
13.2.-19.2.2012;0.081131;
20.2.-26.2.2012;0.092143;
27.2.-4.3.2012;0.080060;
5.3.-11.3.2012;122.756428;
12.3.-18.3.2012;2.528750;
19.3.-25.3.2012;0.081726;
26.3.-1.4.2012;0.086667;
2.4.-8.4.2012;0.078869;
9.4.-15.4.2012;0.080952;
16.4.-22.4.2012;0.083512;
23.4.-29.4.2012;0.079048;
30.4.-6.5.2012;0.082202;
7.5.-13.5.2012;0.081190;
14.5.-20.5.2012;3.587857;
21.5.-27.5.2012;0.097738;
28.5.-3.6.2012;0.086667;
4.6.-10.6.2012;0.077024;
11.6.-17.6.2012;0.098274;
18.6.-24.6.2012;0.080119;
25.6.-1.7.2012;0.079643;
2.7.-8.7.2012;0.420655;
9.7.-15.7.2012;0.627202;
16.7.-22.7.2012;1.625595;
23.7.-29.7.2012;1.662679;
30.7.-5.8.2012;0.101726;
6.8.-12.8.2012;0.071964;
13.8.-19.8.2012;0.071369;
20.8.-26.8.2012;0.074167;
27.8.-2.9.2012;0.123333;
3.9.-9.9.2012;0.109762;
10.9.-16.9.2012;0.074107;
17.9.-23.9.2012;0.078631;
24.9.-30.9.2012;0.213095;
1.10.-7.10.2012;0.074583;
8.10.-14.10.2012;0.070119;
15.10.-21.10.2012;0.073691;
22.10.-28.10.2012;0.075238;
29.10.-4.11.2012;0.074405;
5.11.-11.11.2012;0.120357;
12.11.-18.11.2012;0.074941;
19.11.-25.11.2012;0.071726;
26.11.-2.12.2012;0.071547;
3.12.-9.12.2012;0.074107;
10.12.-16.12.2012;0.075833;
17.12.-23.12.2012;0.074107;
24.12.-31.12.2012;0.075625;
