Date;Proton30;
1.1.-7.1.2018;0.149524;
8.1.-14.1.2018;0.152797;
15.1.-21.1.2018;0.161786;
22.1.-28.1.2018;0.156607;
29.1.-4.2.2018;0.152560;
5.2.-11.2.2018;0.156607;
12.2.-18.2.2018;0.164524;
19.2.-25.2.2018;0.157500;
26.2.-4.3.2018;0.155357;
5.3.-11.3.2018;0.157500;
12.3.-18.3.2018;0.162738;
19.3.-25.3.2018;0.158810;
26.3.-1.4.2018;0.155179;
2.4.-8.4.2018;0.159464;
9.4.-15.4.2018;0.162381;
16.4.-22.4.2018;0.161309;
23.4.-29.4.2018;0.155476;
30.4.-6.5.2018;0.160536;
7.5.-13.5.2018;0.155655;
14.5.-20.5.2018;0.161548;
21.5.-27.5.2018;0.155238;
28.5.-3.6.2018;0.158988;
4.6.-10.6.2018;0.167738;
11.6.-17.6.2018;0.173690;
18.6.-24.6.2018;0.165238;
25.6.-1.7.2018;0.156607;
2.7.-8.7.2018;0.168393;
9.7.-15.7.2018;0.170298;
16.7.-22.7.2018;0.166071;
23.7.-29.7.2018;0.168155;
30.7.-5.8.2018;0.171905;
6.8.-12.8.2018;0.167976;
13.8.-19.8.2018;0.167143;
20.8.-26.8.2018;0.164226;
27.8.-2.9.2018;0.170536;
3.9.-9.9.2018;0.171131;
10.9.-16.9.2018;0.167798;
17.9.-23.9.2018;0.168393;
24.9.-30.9.2018;0.169345;
1.10.-7.10.2018;0.175893;
8.10.-14.10.2018;0.168095;
15.10.-21.10.2018;0.167381;
22.10.-28.10.2018;0.173095;
29.10.-4.11.2018;0.178929;
5.11.-11.11.2018;0.165774;
12.11.-18.11.2018;0.165833;
19.11.-25.11.2018;0.174583;
26.11.-2.12.2018;0.178809;
3.12.-9.12.2018;0.169583;
10.12.-16.12.2018;0.167917;
17.12.-23.12.2018;0.175655;
24.12.-30.12.2018;0.179524;
