Date;Proton30;
1.1.-5.1.2014;0.070500;
6.1.-12.1.2014;21.232679;
13.1.-19.1.2014;0.078095;
20.1.-26.1.2014;0.173988;
27.1.-2.2.2014;0.069405;
3.2.-9.2.2014;0.067262;
10.2.-16.2.2014;0.068452;
17.2.-23.2.2014;0.153869;
24.2.-2.3.2014;2.288572;
3.3.-9.3.2014;0.115059;
10.3.-16.3.2014;0.066845;
17.3.-23.3.2014;0.066369;
24.3.-30.3.2014;0.085059;
31.3.-6.4.2014;0.077441;
7.4.-13.4.2014;0.069107;
14.4.-20.4.2014;0.635059;
21.4.-27.4.2014;0.068631;
28.4.-4.5.2014;0.072143;
5.5.-11.5.2014;0.078155;
12.5.-18.5.2014;0.070952;
19.5.-25.5.2014;0.068393;
26.5.-1.6.2014;0.068631;
2.6.-8.6.2014;0.070417;
9.6.-15.6.2014;0.073631;
16.6.-22.6.2014;0.064583;
23.6.-29.6.2014;0.067798;
30.6.-6.7.2014;0.069345;
7.7.-13.7.2014;0.070476;
14.7.-20.7.2014;0.067559;
21.7.-27.7.2014;0.070357;
28.7.-3.8.2014;0.070774;
4.8.-10.8.2014;0.069881;
11.8.-17.8.2014;0.070297;
18.8.-24.8.2014;0.071905;
25.8.-31.8.2014;0.081666;
1.9.-7.9.2014;1.098452;
8.9.-14.9.2014;1.258274;
15.9.-21.9.2014;0.081607;
22.9.-28.9.2014;0.095119;
29.9.-5.10.2014;0.072440;
6.10.-12.10.2014;0.074941;
13.10.-19.10.2014;0.081964;
20.10.-26.10.2014;0.072024;
27.10.-2.11.2014;0.099702;
3.11.-9.11.2014;0.086429;
10.11.-16.11.2014;0.073333;
17.11.-23.11.2014;0.077679;
24.11.-30.11.2014;0.073750;
1.12.-7.12.2014;0.068155;
8.12.-14.12.2014;0.125774;
15.12.-21.12.2014;0.102857;
22.12.-31.12.2014;0.078458;
