Date;Proton30;
1.1.-9.1.2010;0.129074;
10.1.-16.1.2010;0.123452;
17.1.-23.1.2010;0.121488;
24.1.-30.1.2010;0.120952;
31.1.-6.2.2010;0.119583;
7.2.-13.2.2010;0.115298;
14.2.-20.2.2010;0.114702;
21.2.-27.2.2010;0.121905;
28.2.-6.3.2010;0.120714;
7.3.-13.3.2010;0.105774;
14.3.-20.3.2010;0.112381;
21.3.-27.3.2010;0.114702;
28.3.-3.4.2010;0.114881;
4.4.-10.4.2010;0.096845;
11.4.-17.4.2010;0.115298;
18.4.-24.4.2010;0.119286;
25.4.-1.5.2010;0.114821;
2.5.-8.5.2010;0.103690;
9.5.-15.5.2010;0.112441;
16.5.-22.5.2010;0.122203;
23.5.-29.5.2010;0.111310;
30.5.-5.6.2010;0.107500;
6.6.-12.6.2010;0.117857;
13.6.-19.6.2010;0.114464;
20.6.-26.6.2010;0.111309;
27.6.-3.7.2010;0.105655;
4.7.-10.7.2010;0.112262;
11.7.-17.7.2010;0.122560;
18.7.-24.7.2010;0.121429;
25.7.-31.7.2010;0.105357;
1.8.-7.8.2010;0.111012;
8.8.-14.8.2010;0.155952;
15.8.-21.8.2010;0.149881;
22.8.-28.8.2010;0.105357;
29.8.-4.9.2010;0.115357;
5.9.-11.9.2010;0.119583;
12.9.-18.9.2010;0.106250;
19.9.-25.9.2010;0.109107;
26.9.-2.10.2010;0.107678;
3.10.-9.10.2010;0.115000;
10.10.-16.10.2010;0.108929;
17.10.-23.10.2010;0.108452;
24.10.-30.10.2010;0.102262;
31.10.-6.11.2010;0.112976;
7.11.-13.11.2010;0.111667;
14.11.-20.11.2010;0.104226;
21.11.-27.11.2010;0.109703;
28.11.-4.12.2010;0.110952;
5.12.-11.12.2010;0.110357;
12.12.-18.12.2010;0.097619;
19.12.-25.12.2010;0.111071;
26.12.-31.12.2010;0.109514;
