Week;Zraneni;Sunspot
1.tyzden.2017;16;4.375000
2.tyzden.2017;7;14.000000
3.tyzden.2017;10;46.142857
4.tyzden.2017;6;40.142857
5.tyzden.2017;20;34.000000
6.tyzden.2017;6;17.714286
7.tyzden.2017;12;18.857143
8.tyzden.2017;10;29.857143
9.tyzden.2017;12;39.428571
10.tyzden.2017;11;0.000000
11.tyzden.2017;9;0.000000
12.tyzden.2017;16;14.857143
13.tyzden.2017;22;61.428571
14.tyzden.2017;10;42.428571
15.tyzden.2017;16;13.428571
16.tyzden.2017;15;25.571429
17.tyzden.2017;13;35.000000
18.tyzden.2017;27;22.428571
19.tyzden.2017;20;5.285714
20.tyzden.2017;21;21.857143
21.tyzden.2017;16;32.285714
22.tyzden.2017;21;14.428571
23.tyzden.2017;16;12.285714
24.tyzden.2017;13;20.285714
25.tyzden.2017;13;26.142857
26.tyzden.2017;33;16.428571
27.tyzden.2017;18;17.571429
28.tyzden.2017;14;44.142857
29.tyzden.2017;25;3.142857
30.tyzden.2017;20;8.857143
31.tyzden.2017;35;11.285714
32.tyzden.2017;17;12.571429
33.tyzden.2017;24;38.285714
34.tyzden.2017;15;55.428571
35.tyzden.2017;17;58.142857
36.tyzden.2017;14;88.285714
37.tyzden.2017;24;16.285714
38.tyzden.2017;15;17.571429
39.tyzden.2017;17;38.857143
40.tyzden.2017;13;21.000000
41.tyzden.2017;22;1.571429
42.tyzden.2017;22;3.142857
43.tyzden.2017;8;23.142857
44.tyzden.2017;14;4.571429
45.tyzden.2017;21;0.000000
46.tyzden.2017;20;12.000000
47.tyzden.2017;14;4.571429
48.tyzden.2017;13;7.857143
49.tyzden.2017;26;5.000000
50.tyzden.2017;16;3.571429
51.tyzden.2017;15;18.000000
52.tyzden.2017;10;9.571429
