Date;Sunspot;
1.1.-8.1.2012;106.000000;
9.1.-15.1.2012;86.000000;
16.1.-22.1.2012;121.285714;
23.1.-29.1.2012;70.142857;
30.1.-5.2.2012;55.285714;
6.2.-12.2.2012;36.714286;
13.2.-19.2.2012;57.000000;
20.2.-26.2.2012;53.714286;
27.2.-4.3.2012;43.285714;
5.3.-11.3.2012;108.000000;
12.3.-18.3.2012;88.571429;
19.3.-25.3.2012;80.142857;
26.3.-1.4.2012;87.714286;
2.4.-8.4.2012;53.714286;
9.4.-15.4.2012;44.714286;
16.4.-22.4.2012;125.142857;
23.4.-29.4.2012;120.428571;
30.4.-6.5.2012;93.285714;
7.5.-13.5.2012;95.428571;
14.5.-20.5.2012;116.428571;
21.5.-27.5.2012;87.142857;
28.5.-3.6.2012;112.285714;
4.6.-10.6.2012;130.428571;
11.6.-17.6.2012;112.285714;
18.6.-24.6.2012;29.428571;
25.6.-1.7.2012;77.571429;
2.7.-8.7.2012;129.714286;
9.7.-15.7.2012;119.285714;
16.7.-22.7.2012;53.857143;
23.7.-29.7.2012;88.000000;
30.7.-5.8.2012;138.000000;
6.8.-12.8.2012;119.714286;
13.8.-19.8.2012;49.285714;
20.8.-26.8.2012;73.857143;
27.8.-2.9.2012;114.428571;
3.9.-9.9.2012;119.142857;
10.9.-16.9.2012;64.857143;
17.9.-23.9.2012;69.142857;
24.9.-30.9.2012;107.428571;
1.10.-7.10.2012;59.857143;
8.10.-14.10.2012;75.142857;
15.10.-21.10.2012;99.285714;
22.10.-28.10.2012;78.428571;
29.10.-4.11.2012;52.142857;
5.11.-11.11.2012;68.000000;
12.11.-18.11.2012;132.428571;
19.11.-25.11.2012;95.857143;
26.11.-2.12.2012;67.714286;
3.12.-9.12.2012;44.142857;
10.12.-16.12.2012;59.428571;
17.12.-23.12.2012;65.857143;
24.12.-31.12.2012;59.375000;
