Date;Sunspot;
1.1.-9.1.2011;38.555556;
10.1.-16.1.2011;16.857143;
17.1.-23.1.2011;30.428571;
24.1.-30.1.2011;21.285714;
31.1.-6.2.2011;24.857143;
7.2.-13.2.2011;51.285714;
14.2.-20.2.2011;78.428571;
21.2.-27.2.2011;34.142857;
28.2.-6.3.2011;83.857143;
7.3.-13.3.2011;104.857143;
14.3.-20.3.2011;39.285714;
21.3.-27.3.2011;68.857143;
28.3.-3.4.2011;85.857143;
4.4.-10.4.2011;68.428571;
11.4.-17.4.2011;97.571429;
18.4.-24.4.2011;74.857143;
25.4.-1.5.2011;68.142857;
2.5.-8.5.2011;61.285714;
9.5.-15.5.2011;61.571429;
16.5.-22.5.2011;44.428571;
23.5.-29.5.2011;48.857143;
30.5.-5.6.2011;115.285714;
6.6.-12.6.2011;40.714286;
13.6.-19.6.2011;47.000000;
20.6.-26.6.2011;48.428571;
27.6.-3.7.2011;40.571429;
4.7.-10.7.2011;45.857143;
11.7.-17.7.2011;76.000000;
18.7.-24.7.2011;70.714286;
25.7.-31.7.2011;73.000000;
1.8.-7.8.2011;88.714286;
8.8.-14.8.2011;36.000000;
15.8.-21.8.2011;49.285714;
22.8.-28.8.2011;78.857143;
29.8.-4.9.2011;111.857143;
5.9.-11.9.2011;82.142857;
12.9.-18.9.2011;162.571429;
19.9.-25.9.2011;115.857143;
26.9.-2.10.2011;114.857143;
3.10.-9.10.2011;96.857143;
10.10.-16.10.2011;141.857143;
17.10.-23.10.2011;165.428571;
24.10.-30.10.2011;105.000000;
31.10.-6.11.2011;118.857143;
7.11.-13.11.2011;167.428571;
14.11.-20.11.2011;135.428571;
21.11.-27.11.2011;135.857143;
28.11.-4.12.2011;133.857143;
5.12.-11.12.2011;128.857143;
12.12.-18.12.2011;79.571429;
19.12.-25.12.2011;102.714286;
26.12.-31.12.2011;106.333333;
