"Year";"Correlation";"parameter"
"2011-2013";-0.146657351843128;"Proton flux over 60 MeV"
"2011-2013";-0.145666542569764;"Proton flux over 30 MeV"
"2011-2013";-0.142598294343048;"Solar wind density"
"2011-2013";0.128408041776091;"Dst index"
"2011-2013";-0.127188007927543;"Proton flux over 10 MeV"
"2011-2013";-0.12472138190398;"Polar cap north (Thule)"
"2011-2013";-0.107209223693171;"Kp index"
"2011-2013";-0.101201424268065;"Ap index"
"2011-2013";-0.0867425124849558;"R sunspot number"
"2011-2013";-0.0750188824727762;"Solar index_F10.7"
"2011-2013";-0.053911141242966;"Lyman alpha solar index"
"2011-2013";-0.0428114022080707;"Polar cap south (Vostok)"
"2011-2013";0.0411139512501203;"Solar wind speed"
"2011-2013";0.0385488619397888;"Solar wind temperature"
