Week;Zraneni;Lyman
1.tyzden.2010;24;3.623333
2.tyzden.2010;19;3.784286
3.tyzden.2010;26;3.682857
4.tyzden.2010;20;3.687143
5.tyzden.2010;21;3.654286
6.tyzden.2010;23;3.891429
7.tyzden.2010;21;3.847143
8.tyzden.2010;27;3.765714
9.tyzden.2010;22;3.714286
10.tyzden.2010;21;3.802857
11.tyzden.2010;24;3.898571
12.tyzden.2010;20;3.817143
13.tyzden.2010;13;3.737143
14.tyzden.2010;25;3.801429
15.tyzden.2010;18;3.760000
16.tyzden.2010;18;3.760000
17.tyzden.2010;30;3.805714
18.tyzden.2010;19;3.870000
19.tyzden.2010;27;3.730000
20.tyzden.2010;20;3.675714
21.tyzden.2010;25;3.751429
22.tyzden.2010;34;3.740000
23.tyzden.2010;36;3.671429
24.tyzden.2010;23;3.725714
25.tyzden.2010;18;3.775714
26.tyzden.2010;32;3.815714
27.tyzden.2010;23;3.770000
28.tyzden.2010;32;3.864286
29.tyzden.2010;23;3.862857
30.tyzden.2010;23;3.912857
31.tyzden.2010;26;3.880000
32.tyzden.2010;32;3.958571
33.tyzden.2010;15;3.840000
34.tyzden.2010;30;3.750000
35.tyzden.2010;27;3.814286
36.tyzden.2010;25;3.855714
37.tyzden.2010;31;3.892857
38.tyzden.2010;27;3.914286
39.tyzden.2010;17;3.848571
40.tyzden.2010;24;3.750000
41.tyzden.2010;22;3.837143
42.tyzden.2010;20;3.922857
43.tyzden.2010;31;3.845714
44.tyzden.2010;28;3.691429
45.tyzden.2010;29;3.912857
46.tyzden.2010;23;3.934286
47.tyzden.2010;19;3.832857
48.tyzden.2010;14;3.784286
49.tyzden.2010;28;3.912857
50.tyzden.2010;22;3.912857
51.tyzden.2010;23;3.888571
52.tyzden.2010;21;3.741667
