Week;Zraneni;Lyman
1.tyzden.2018;12;3.558571
2.tyzden.2018;22;3.610000
3.tyzden.2018;18;3.625714
4.tyzden.2018;15;3.540000
5.tyzden.2018;10;3.547143
6.tyzden.2018;18;3.624286
7.tyzden.2018;15;3.618571
8.tyzden.2018;13;3.500000
9.tyzden.2018;10;3.497143
10.tyzden.2018;15;3.548571
11.tyzden.2018;16;3.547143
12.tyzden.2018;9;3.511429
13.tyzden.2018;16;3.508571
14.tyzden.2018;22;3.560000
15.tyzden.2018;14;3.567143
16.tyzden.2018;30;3.534286
17.tyzden.2018;12;3.552857
18.tyzden.2018;13;3.527143
19.tyzden.2018;9;3.587143
20.tyzden.2018;19;3.562857
21.tyzden.2018;18;3.584286
22.tyzden.2018;22;3.611429
23.tyzden.2018;27;3.588571
24.tyzden.2018;14;3.601429
25.tyzden.2018;18;3.648571
26.tyzden.2018;18;3.597143
27.tyzden.2018;19;3.538571
28.tyzden.2018;18;3.637143
29.tyzden.2018;26;3.644286
30.tyzden.2018;28;3.551429
31.tyzden.2018;31;3.561429
32.tyzden.2018;23;3.607143
33.tyzden.2018;17;3.550000
34.tyzden.2018;37;3.540000
35.tyzden.2018;15;3.521429
36.tyzden.2018;13;3.555714
37.tyzden.2018;14;3.570000
38.tyzden.2018;17;3.532857
39.tyzden.2018;14;3.528571
40.tyzden.2018;35;3.541429
41.tyzden.2018;19;3.568571
42.tyzden.2018;19;3.541429
43.tyzden.2018;13;3.522857
44.tyzden.2018;21;3.521429
45.tyzden.2018;23;3.501429
46.tyzden.2018;22;3.514286
47.tyzden.2018;23;3.517143
48.tyzden.2018;17;3.502857
49.tyzden.2018;23;3.507143
50.tyzden.2018;22;3.545714
51.tyzden.2018;20;3.521429
52.tyzden.2018;6;3.534286
