"Year";"Correlation";"parameter"
"all";-0.060506273971488;"Proton flux over 60 MeV"
"all";0.0586877733306461;"Solar wind temperature"
"all";-0.0541661419533259;"Proton flux over 30 MeV"
"all";-0.0500502146503448;"Solar wind density"
"all";0.0469162731089399;"Solar wind speed"
"all";0.0465892455577974;"Dst index"
"all";-0.0426604480725866;"Proton flux over 10 MeV"
"all";-0.0354953413486305;"AU index"
"all";-0.0294098080462007;"Lyman alpha solar index"
"all";0.0260898188405893;"Ap index"
"all";-0.0198384003769474;"AL index"
"all";0.0119301056031799;"R sunspot number"
"all";-0.00126903875374124;"Solar index_F10.7"
"all";0.000527595443532507;"AE index"
"all";0.000324000541339591;"Kp index"
