Week;Zraneni;AU
1.tyzden.2011;11;40.263889
2.tyzden.2011;12;47.958333
3.tyzden.2011;13;33.982143
4.tyzden.2011;19;31.892857
5.tyzden.2011;10;58.702381
6.tyzden.2011;11;29.184524
7.tyzden.2011;9;45.392857
8.tyzden.2011;11;24.720238
9.tyzden.2011;18;70.738095
10.tyzden.2011;14;101.744048
11.tyzden.2011;12;20.922619
12.tyzden.2011;16;30.142857
13.tyzden.2011;24;58.363095
14.tyzden.2011;14;81.946428
15.tyzden.2011;13;54.136905
16.tyzden.2011;18;50.434524
17.tyzden.2011;16;72.708333
18.tyzden.2011;20;65.583333
19.tyzden.2011;17;48.958333
20.tyzden.2011;23;49.297619
21.tyzden.2011;23;99.815476
22.tyzden.2011;30;96.916666
23.tyzden.2011;21;94.619048
24.tyzden.2011;23;62.178571
25.tyzden.2011;20;106.166667
26.tyzden.2011;31;65.267857
27.tyzden.2011;19;102.863095
28.tyzden.2011;27;72.767857
29.tyzden.2011;19;92.315476
30.tyzden.2011;15;60.190476
31.tyzden.2011;13;70.619048
32.tyzden.2011;20;55.297619
33.tyzden.2011;31;40.988095
34.tyzden.2011;14;41.761905
35.tyzden.2011;20;49.982143
36.tyzden.2011;28;79.184524
37.tyzden.2011;23;72.654762
38.tyzden.2011;19;23.464286
39.tyzden.2011;19;81.005952
40.tyzden.2011;22;55.577381
41.tyzden.2011;15;28.946429
42.tyzden.2011;25;27.851191
43.tyzden.2011;14;31.875000
44.tyzden.2011;19;49.488095
45.tyzden.2011;20;17.214286
46.tyzden.2011;20;16.642857
47.tyzden.2011;21;44.666667
48.tyzden.2011;28;40.095238
49.tyzden.2011;22;22.011905
50.tyzden.2011;26;14.309524
51.tyzden.2011;27;26.476190
52.tyzden.2011;9;25.826389
