Week;Nehodovost;Proton10
1.tyzden.2018;178;0.241190
2.tyzden.2018;211;0.248333
3.tyzden.2018;312;0.258274
4.tyzden.2018;220;0.252738
5.tyzden.2018;229;0.245893
6.tyzden.2018;198;0.251548
7.tyzden.2018;234;0.263809
8.tyzden.2018;198;0.253274
9.tyzden.2018;228;0.250178
10.tyzden.2018;235;0.253988
11.tyzden.2018;229;0.259107
12.tyzden.2018;200;0.254405
13.tyzden.2018;228;0.250357
14.tyzden.2018;231;0.254464
15.tyzden.2018;267;0.259702
16.tyzden.2018;268;0.257441
17.tyzden.2018;273;0.250179
18.tyzden.2018;257;0.257262
19.tyzden.2018;248;0.251726
20.tyzden.2018;269;0.260238
21.tyzden.2018;263;0.250952
22.tyzden.2018;281;0.253810
23.tyzden.2018;276;0.265238
24.tyzden.2018;256;0.274643
25.tyzden.2018;287;0.382440
26.tyzden.2018;263;0.251607
27.tyzden.2018;306;0.267798
28.tyzden.2018;262;0.269941
29.tyzden.2018;283;0.264167
30.tyzden.2018;277;0.265952
31.tyzden.2018;289;0.271488
32.tyzden.2018;291;0.264762
33.tyzden.2018;261;0.264643
34.tyzden.2018;299;0.262500
35.tyzden.2018;253;0.270357
36.tyzden.2018;275;0.267738
37.tyzden.2018;301;0.265298
38.tyzden.2018;291;0.266429
39.tyzden.2018;271;0.268512
40.tyzden.2018;261;0.275655
41.tyzden.2018;298;0.268333
42.tyzden.2018;298;0.264703
43.tyzden.2018;288;0.272738
44.tyzden.2018;250;0.278571
45.tyzden.2018;254;0.262321
46.tyzden.2018;244;0.263631
47.tyzden.2018;286;0.274643
48.tyzden.2018;285;0.279464
49.tyzden.2018;282;0.266786
50.tyzden.2018;329;0.263631
51.tyzden.2018;344;0.275238
52.tyzden.2018;168;0.280655
