Week;Usmrteni;Density
1.tyzden.2017;0;5.597396
2.tyzden.2017;4;6.678571
3.tyzden.2017;7;8.254167
4.tyzden.2017;13;6.014881
5.tyzden.2017;6;4.385119
6.tyzden.2017;7;4.941667
7.tyzden.2017;6;9.926190
8.tyzden.2017;6;5.291071
9.tyzden.2017;5;5.713690
10.tyzden.2017;4;4.092262
11.tyzden.2017;7;8.226786
12.tyzden.2017;8;6.097024
13.tyzden.2017;13;4.092262
14.tyzden.2017;5;6.700000
15.tyzden.2017;6;6.030952
16.tyzden.2017;6;7.647619
17.tyzden.2017;3;3.032738
18.tyzden.2017;6;7.933929
19.tyzden.2017;3;11.845238
20.tyzden.2017;5;6.488691
21.tyzden.2017;2;5.985714
22.tyzden.2017;13;6.760119
23.tyzden.2017;9;10.350000
24.tyzden.2017;7;5.092857
25.tyzden.2017;6;5.783929
26.tyzden.2017;4;5.821429
27.tyzden.2017;9;8.004167
28.tyzden.2017;10;5.564881
29.tyzden.2017;5;3.633333
30.tyzden.2017;5;3.248810
31.tyzden.2017;7;6.827976
32.tyzden.2017;2;4.058928
33.tyzden.2017;4;4.808333
34.tyzden.2017;12;5.047024
35.tyzden.2017;9;6.244643
36.tyzden.2017;7;3.574405
37.tyzden.2017;14;5.890476
38.tyzden.2017;8;5.837500
39.tyzden.2017;7;6.286309
40.tyzden.2017;8;6.123214
41.tyzden.2017;21;6.674405
42.tyzden.2017;8;6.519048
43.tyzden.2017;3;6.583929
44.tyzden.2017;2;9.402381
45.tyzden.2017;6;6.591667
46.tyzden.2017;2;7.480357
47.tyzden.2017;3;7.477381
48.tyzden.2017;9;6.776190
49.tyzden.2017;14;7.425595
50.tyzden.2017;5;8.352976
51.tyzden.2017;7;6.913690
52.tyzden.2017;2;6.565476
