Week;Usmrteni;Density
1.tyzden.2018;0;8.998214
2.tyzden.2018;2;9.092857
3.tyzden.2018;8;7.952381
4.tyzden.2018;4;6.707738
5.tyzden.2018;6;10.483333
6.tyzden.2018;4;7.910714
7.tyzden.2018;4;9.560714
8.tyzden.2018;0;4.935119
9.tyzden.2018;2;7.407143
10.tyzden.2018;8;8.491071
11.tyzden.2018;1;6.579762
12.tyzden.2018;7;6.585714
13.tyzden.2018;5;5.236310
14.tyzden.2018;5;7.707143
15.tyzden.2018;11;4.918452
16.tyzden.2018;3;9.380357
17.tyzden.2018;8;6.689286
18.tyzden.2018;2;6.447619
19.tyzden.2018;8;3.887500
20.tyzden.2018;5;6.163690
21.tyzden.2018;7;7.322619
22.tyzden.2018;10;5.926190
23.tyzden.2018;8;5.843452
24.tyzden.2018;3;11.317857
25.tyzden.2018;4;5.330357
26.tyzden.2018;7;3.998214
27.tyzden.2018;8;7.199405
28.tyzden.2018;5;6.482143
29.tyzden.2018;6;7.051786
30.tyzden.2018;4;4.363691
31.tyzden.2018;9;9.431548
32.tyzden.2018;12;8.564286
33.tyzden.2018;8;6.307143
34.tyzden.2018;8;5.917262
35.tyzden.2018;6;5.033929
36.tyzden.2018;5;7.848214
37.tyzden.2018;2;4.707143
38.tyzden.2018;11;5.612500
39.tyzden.2018;12;7.874405
40.tyzden.2018;10;8.442857
41.tyzden.2018;4;4.605357
42.tyzden.2018;4;6.255357
43.tyzden.2018;5;7.860714
44.tyzden.2018;7;11.939286
45.tyzden.2018;8;4.851190
46.tyzden.2018;7;5.275595
47.tyzden.2018;5;9.010119
48.tyzden.2018;13;8.332738
49.tyzden.2018;7;5.415476
50.tyzden.2018;8;3.779167
51.tyzden.2018;8;4.447619
52.tyzden.2018;4;7.250595
