Date;Dst;
1.1.-8.1.2017;-14.307292;
9.1.-15.1.2017;-6.994048;
16.1.-22.1.2017;-7.148809;
23.1.-29.1.2017;-8.214286;
30.1.-5.2.2017;-15.630952;
6.2.-12.2.2017;-6.845238;
13.2.-19.2.2017;-5.452381;
20.2.-26.2.2017;-8.547619;
27.2.-5.3.2017;-21.476190;
6.3.-12.3.2017;-19.785714;
13.3.-19.3.2017;-1.892857;
20.3.-26.3.2017;-5.738095;
27.3.-2.4.2017;-26.565476;
3.4.-9.4.2017;-8.250000;
10.4.-16.4.2017;-1.934524;
17.4.-23.4.2017;-12.910714;
24.4.-30.4.2017;-17.625000;
1.5.-7.5.2017;7.636905;
8.5.-14.5.2017;11.744048;
15.5.-21.5.2017;-3.458333;
22.5.-28.5.2017;-13.785714;
29.5.-4.6.2017;-8.494047;
5.6.-11.6.2017;3.345238;
12.6.-18.6.2017;-5.136905;
19.6.-25.6.2017;-4.636905;
26.6.-2.7.2017;-0.315476;
3.7.-9.7.2017;-3.470238;
10.7.-16.7.2017;-8.380952;
17.7.-23.7.2017;-23.541667;
24.7.-30.7.2017;-12.880952;
31.7.-6.8.2017;-0.005952;
7.8.-13.8.2017;2.642857;
14.8.-20.8.2017;-6.964286;
21.8.-27.8.2017;-14.267857;
28.8.-3.9.2017;-12.952381;
4.9.-10.9.2017;-36.238095;
11.9.-17.9.2017;-27.625000;
18.9.-24.9.2017;-16.690476;
25.9.-1.10.2017;-24.136905;
2.10.-8.10.2017;-9.261905;
9.10.-15.10.2017;-19.755952;
16.10.-22.10.2017;-11.142857;
23.10.-29.10.2017;-10.464286;
30.10.-5.11.2017;-1.821429;
6.11.-12.11.2017;-24.660714;
13.11.-19.11.2017;-9.380952;
20.11.-26.11.2017;-9.565476;
27.11.-3.12.2017;2.345238;
4.12.-10.12.2017;-7.994048;
11.12.-17.12.2017;0.571428;
18.12.-24.12.2017;0.404762;
25.12.-31.12.2017;1.279762;
