Date;Dst;
1.1.-4.1.2015;-18.145834;
5.1.-11.1.2015;-29.773810;
12.1.-18.1.2015;-9.422619;
19.1.-25.1.2015;0.255952;
26.1.-1.2.2015;-8.720238;
2.2.-8.2.2015;-14.750000;
9.2.-15.2.2015;-3.440476;
16.2.-22.2.2015;-16.255952;
23.2.-1.3.2015;-13.922619;
2.3.-8.3.2015;-8.059524;
9.3.-15.3.2015;3.071428;
16.3.-22.3.2015;-49.327381;
23.3.-29.3.2015;-15.946429;
30.3.-5.4.2015;-3.761905;
6.4.-12.4.2015;-12.130952;
13.4.-19.4.2015;-24.892857;
20.4.-26.4.2015;-4.720238;
27.4.-3.5.2015;-1.416667;
4.5.-10.5.2015;-2.273810;
11.5.-17.5.2015;-23.916667;
18.5.-24.5.2015;-6.226190;
25.5.-31.5.2015;6.458333;
1.6.-7.6.2015;2.970238;
8.6.-14.6.2015;-23.541667;
15.6.-21.6.2015;-17.250000;
22.6.-28.6.2015;-60.702381;
29.6.-5.7.2015;-15.666667;
6.7.-12.7.2015;-15.928571;
13.7.-19.7.2015;-15.988095;
20.7.-26.7.2015;-12.035714;
27.7.-2.8.2015;-5.952381;
3.8.-9.8.2015;1.345238;
10.8.-16.8.2015;-12.940476;
17.8.-23.8.2015;-15.809524;
24.8.-30.8.2015;-30.333333;
31.8.-6.9.2015;-8.470238;
7.9.-13.9.2015;-36.279762;
14.9.-20.9.2015;-22.214286;
21.9.-27.9.2015;-9.172619;
28.9.-4.10.2015;-11.517857;
5.10.-11.10.2015;-40.404762;
12.10.-18.10.2015;-20.678571;
19.10.-25.10.2015;-2.232143;
26.10.-1.11.2015;-1.886905;
2.11.-8.11.2015;-29.922619;
9.11.-15.11.2015;-28.333333;
16.11.-22.11.2015;-14.220238;
23.11.-29.11.2015;-0.470238;
30.11.-6.12.2015;-9.261905;
7.12.-13.12.2015;-5.220238;
14.12.-20.12.2015;-15.470238;
21.12.-31.12.2015;-15.143939;
