Week;Usmrteni;Kp
1.tyzden.2010;9;2.708333
2.tyzden.2010;6;10.267857
3.tyzden.2010;8;8.892857
4.tyzden.2010;5;7.196429
5.tyzden.2010;6;13.410714
6.tyzden.2010;4;9.803571
7.tyzden.2010;9;12.928571
8.tyzden.2010;6;6.089286
9.tyzden.2010;0;11.482143
10.tyzden.2010;2;13.000000
11.tyzden.2010;7;11.464286
12.tyzden.2010;9;6.321429
13.tyzden.2010;5;18.178571
14.tyzden.2010;3;28.892857
15.tyzden.2010;4;14.500000
16.tyzden.2010;4;12.660714
17.tyzden.2010;10;7.482143
18.tyzden.2010;4;24.321429
19.tyzden.2010;5;8.410714
20.tyzden.2010;3;12.964286
21.tyzden.2010;3;13.535714
22.tyzden.2010;5;23.214286
23.tyzden.2010;6;9.642857
24.tyzden.2010;9;16.178571
25.tyzden.2010;3;12.732143
26.tyzden.2010;9;22.178571
27.tyzden.2010;10;6.214286
28.tyzden.2010;10;9.571429
29.tyzden.2010;8;10.142857
30.tyzden.2010;4;18.785714
31.tyzden.2010;3;19.982143
32.tyzden.2010;6;12.017857
33.tyzden.2010;5;9.000000
34.tyzden.2010;19;20.928571
35.tyzden.2010;6;6.464286
36.tyzden.2010;9;13.196429
37.tyzden.2010;5;12.071429
38.tyzden.2010;10;13.357143
39.tyzden.2010;7;9.839286
40.tyzden.2010;5;8.857143
41.tyzden.2010;10;14.803571
42.tyzden.2010;7;17.321429
43.tyzden.2010;12;14.732143
44.tyzden.2010;5;7.410714
45.tyzden.2010;9;14.803571
46.tyzden.2010;11;13.000000
47.tyzden.2010;16;12.803571
48.tyzden.2010;5;7.696429
49.tyzden.2010;8;6.178571
50.tyzden.2010;2;16.803571
51.tyzden.2010;8;8.357143
52.tyzden.2010;1;10.208333
