Week;Usmrteni;Kp
1.tyzden.2011;11;14.708333
2.tyzden.2011;6;16.785714
3.tyzden.2011;9;11.839286
4.tyzden.2011;6;9.375000
5.tyzden.2011;1;19.678571
6.tyzden.2011;12;8.982143
7.tyzden.2011;6;16.928571
8.tyzden.2011;2;7.339286
9.tyzden.2011;11;23.303571
10.tyzden.2011;9;23.321429
11.tyzden.2011;8;7.196429
12.tyzden.2011;6;11.035714
13.tyzden.2011;10;16.625000
14.tyzden.2011;7;16.910714
15.tyzden.2011;6;15.892857
16.tyzden.2011;10;14.625000
17.tyzden.2011;10;15.875000
18.tyzden.2011;6;16.357143
19.tyzden.2011;2;11.946429
20.tyzden.2011;14;13.500000
21.tyzden.2011;10;21.821429
22.tyzden.2011;11;20.964286
23.tyzden.2011;9;18.982143
24.tyzden.2011;6;14.803571
25.tyzden.2011;9;22.017857
26.tyzden.2011;7;11.946429
27.tyzden.2011;10;19.821429
28.tyzden.2011;17;15.500000
29.tyzden.2011;10;21.589286
30.tyzden.2011;6;15.250000
31.tyzden.2011;5;17.053571
32.tyzden.2011;6;14.267857
33.tyzden.2011;10;12.142857
34.tyzden.2011;11;13.767857
35.tyzden.2011;4;12.571429
36.tyzden.2011;6;21.339286
37.tyzden.2011;10;22.250000
38.tyzden.2011;16;9.142857
39.tyzden.2011;6;29.785714
40.tyzden.2011;12;17.696429
41.tyzden.2011;11;10.321429
42.tyzden.2011;15;8.875000
43.tyzden.2011;16;13.142857
44.tyzden.2011;6;14.946429
45.tyzden.2011;5;8.000000
46.tyzden.2011;12;5.946429
47.tyzden.2011;4;14.000000
48.tyzden.2011;11;16.446429
49.tyzden.2011;8;8.553571
50.tyzden.2011;10;5.696429
51.tyzden.2011;14;9.785714
52.tyzden.2011;9;10.312500
