Week;Usmrteni;Kp
1.tyzden.2016;6;20.487500
2.tyzden.2016;11;17.375000
3.tyzden.2016;7;25.214286
4.tyzden.2016;6;8.678571
5.tyzden.2016;6;16.571429
6.tyzden.2016;4;19.500000
7.tyzden.2016;4;28.517857
8.tyzden.2016;7;10.875000
9.tyzden.2016;3;15.214286
10.tyzden.2016;0;21.214286
11.tyzden.2016;3;27.392857
12.tyzden.2016;2;15.428571
13.tyzden.2016;6;19.625000
14.tyzden.2016;0;13.928571
15.tyzden.2016;13;26.250000
16.tyzden.2016;3;14.250000
17.tyzden.2016;7;15.267857
18.tyzden.2016;3;26.875000
19.tyzden.2016;11;21.178571
20.tyzden.2016;5;20.571429
21.tyzden.2016;4;13.482143
22.tyzden.2016;2;15.642857
23.tyzden.2016;9;18.910714
24.tyzden.2016;7;19.303571
25.tyzden.2016;6;17.517857
26.tyzden.2016;11;14.875000
27.tyzden.2016;8;20.696429
28.tyzden.2016;9;21.482143
29.tyzden.2016;8;16.982143
30.tyzden.2016;5;17.250000
31.tyzden.2016;9;26.267857
32.tyzden.2016;3;19.535714
33.tyzden.2016;7;11.660714
34.tyzden.2016;5;17.321429
35.tyzden.2016;8;31.892857
36.tyzden.2016;5;18.767857
37.tyzden.2016;18;11.607143
38.tyzden.2016;11;18.089286
39.tyzden.2016;10;37.107143
40.tyzden.2016;4;20.517857
41.tyzden.2016;8;23.142857
42.tyzden.2016;9;15.357143
43.tyzden.2016;10;38.053571
44.tyzden.2016;8;17.964286
45.tyzden.2016;2;20.821429
46.tyzden.2016;8;9.625000
47.tyzden.2016;13;25.250000
48.tyzden.2016;8;7.892857
49.tyzden.2016;8;24.892857
50.tyzden.2016;9;9.535714
51.tyzden.2016;8;26.607143
52.tyzden.2016;4;18.708333
