Week;Usmrteni;Density
16.tyzden.2012;10;6.574405
17.tyzden.2012;8;4.920238
18.tyzden.2012;7;6.196429
19.tyzden.2012;9;5.628571
20.tyzden.2012;2;4.641071
21.tyzden.2012;14;4.498214
22.tyzden.2012;17;7.688095
23.tyzden.2012;5;2.700595
24.tyzden.2012;9;6.457143
25.tyzden.2012;11;2.021429
26.tyzden.2012;13;5.882738
27.tyzden.2012;11;4.490476
28.tyzden.2012;9;5.053571
29.tyzden.2012;6;2.991667
30.tyzden.2012;13;5.825000
31.tyzden.2012;1;4.498214
32.tyzden.2012;2;6.308929
33.tyzden.2012;13;5.278571
34.tyzden.2012;12;4.427976
35.tyzden.2012;4;3.340476
36.tyzden.2012;11;6.158333
37.tyzden.2012;7;6.189286
38.tyzden.2012;13;4.401190
39.tyzden.2012;12;6.246428
40.tyzden.2012;14;6.554167
41.tyzden.2012;6;4.902381
42.tyzden.2012;11;3.054762
43.tyzden.2012;7;4.100595
44.tyzden.2012;6;8.057143
45.tyzden.2012;3;7.191071
46.tyzden.2012;9;5.718452
47.tyzden.2012;8;5.130953
48.tyzden.2012;8;5.548214
49.tyzden.2012;6;7.295833
50.tyzden.2012;7;8.960119
51.tyzden.2012;16;3.887500
52.tyzden.2012;8;7.229688
1.tyzden.2013;5;7.109028
2.tyzden.2013;3;6.869643
3.tyzden.2013;2;6.948809
4.tyzden.2013;6;6.513095
5.tyzden.2013;4;5.822024
6.tyzden.2013;4;7.429167
7.tyzden.2013;3;7.810119
8.tyzden.2013;1;6.448810
9.tyzden.2013;10;9.244643
10.tyzden.2013;6;8.269643
11.tyzden.2013;3;9.155357
12.tyzden.2013;8;4.242262
13.tyzden.2013;6;5.570833
14.tyzden.2013;1;4.789286
15.tyzden.2013;5;5.352976
16.tyzden.2013;4;5.490476
17.tyzden.2013;2;10.347619
18.tyzden.2013;6;3.970833
19.tyzden.2013;2;3.552976
20.tyzden.2013;3;7.463095
21.tyzden.2013;3;5.311905
22.tyzden.2013;1;3.777381
23.tyzden.2013;1;4.992262
24.tyzden.2013;7;5.324405
25.tyzden.2013;5;7.247024
26.tyzden.2013;7;4.552381
27.tyzden.2013;7;5.283334
28.tyzden.2013;9;5.327976
29.tyzden.2013;12;5.442857
30.tyzden.2013;4;5.087500
31.tyzden.2013;16;5.919048
32.tyzden.2013;10;3.319048
33.tyzden.2013;10;5.179762
34.tyzden.2013;5;4.135714
35.tyzden.2013;3;5.244643
36.tyzden.2013;7;3.594048
37.tyzden.2013;8;4.798214
38.tyzden.2013;12;4.045238
39.tyzden.2013;5;5.594048
40.tyzden.2013;6;5.595833
41.tyzden.2013;10;5.295833
42.tyzden.2013;6;3.305952
43.tyzden.2013;14;6.054167
44.tyzden.2013;3;6.594643
45.tyzden.2013;6;4.791071
46.tyzden.2013;9;4.283333
47.tyzden.2013;4;3.238095
48.tyzden.2013;10;6.470833
49.tyzden.2013;12;4.783928
50.tyzden.2013;9;6.652381
51.tyzden.2013;11;3.139286
52.tyzden.2013;8;7.170370
1.tyzden.2014;6;4.125000
2.tyzden.2014;11;4.395238
3.tyzden.2014;12;3.235119
4.tyzden.2014;7;5.497619
5.tyzden.2014;8;4.263095
6.tyzden.2014;7;6.301190
7.tyzden.2014;14;6.947024
8.tyzden.2014;5;4.470238
9.tyzden.2014;2;5.548214
10.tyzden.2014;2;3.789881
11.tyzden.2014;7;5.654762
12.tyzden.2014;10;6.980357
13.tyzden.2014;2;4.038690
14.tyzden.2014;3;5.464286
15.tyzden.2014;3;4.851190
16.tyzden.2014;3;6.174405
17.tyzden.2014;16;3.258334
18.tyzden.2014;3;9.391072
19.tyzden.2014;3;6.314286
20.tyzden.2014;6;5.800000
21.tyzden.2014;7;5.258929
22.tyzden.2014;6;7.738691
23.tyzden.2014;17;9.915476
24.tyzden.2014;6;3.751191
25.tyzden.2014;3;4.895238
26.tyzden.2014;7;7.319643
27.tyzden.2014;4;8.440476
28.tyzden.2014;6;6.119643
29.tyzden.2014;7;5.569643
30.tyzden.2014;3;7.837500
31.tyzden.2014;2;6.808333
32.tyzden.2014;13;4.891071
33.tyzden.2014;7;6.900595
34.tyzden.2014;17;8.622024
35.tyzden.2014;7;10.090476
36.tyzden.2014;11;6.207738
37.tyzden.2014;6;5.825000
38.tyzden.2014;8;5.928571
39.tyzden.2014;8;5.729167
40.tyzden.2014;5;7.333333
41.tyzden.2014;6;9.777976
42.tyzden.2014;3;8.920833
43.tyzden.2014;6;4.734524
44.tyzden.2014;5;4.930357
45.tyzden.2014;2;7.026190
46.tyzden.2014;12;4.062500
47.tyzden.2014;4;4.761309
48.tyzden.2014;10;7.079167
49.tyzden.2014;5;7.622024
50.tyzden.2014;5;4.978571
51.tyzden.2014;4;5.442262
52.tyzden.2014;11;6.622917
1.tyzden.2015;3;7.843750
2.tyzden.2015;3;6.013690
3.tyzden.2015;12;5.140476
4.tyzden.2015;9;9.723214
5.tyzden.2015;7;10.106548
6.tyzden.2015;1;4.758929
7.tyzden.2015;3;5.957738
8.tyzden.2015;5;8.556548
9.tyzden.2015;3;10.035119
tyzden.2015;5;5.698214
11.tyzden.2015;10;8.860714
12.tyzden.2015;9;8.352381
13.tyzden.2015;6;6.630952
tyzden.2015;2;7.410119
15.tyzden.2015;5;8.554167
16.tyzden.2015;4;10.413095
tyzden.2015;6;6.744643
18.tyzden.2015;12;7.106548
19.tyzden.2015;3;8.360714
20.tyzden.2015;3;7.066071
21.tyzden.2015;6;4.635119
22.tyzden.2015;6;8.333333
23.tyzden.2015;16;9.735714
24.tyzden.2015;1;5.232738
25.tyzden.2015;11;4.937500
26.tyzden.2015;10;4.989881
27.tyzden.2015;10;7.612500
28.tyzden.2015;2;4.990476
29.tyzden.2015;6;3.566667
30.tyzden.2015;7;8.511905
31.tyzden.2015;6;5.947619
32.tyzden.2015;11;4.576786
33.tyzden.2015;8;6.685714
34.tyzden.2015;9;4.907143
35.tyzden.2015;4;8.028571
36.tyzden.2015;10;5.957143
37.tyzden.2015;14;9.337500
38.tyzden.2015;8;5.663690
39.tyzden.2015;5;4.270833
40.tyzden.2015;9;6.989286
41.tyzden.2015;8;5.054167
42.tyzden.2015;17;7.076190
43.tyzden.2015;11;7.889286
44.tyzden.2015;9;7.020238
45.tyzden.2015;15;8.753571
46.tyzden.2015;15;4.763691
47.tyzden.2015;6;8.089881
48.tyzden.2015;8;12.613095
49.tyzden.2015;12;5.552976
50.tyzden.2015;8;3.705357
51.tyzden.2015;16;9.941071
52.tyzden.2015;10;7.171970
1.tyzden.2016;6;5.146667
2.tyzden.2016;11;4.029762
