Date;Solar;
1.1.-8.1.2012;130.266667;
9.1.-15.1.2012;124.071429;
16.1.-22.1.2012;139.357143;
23.1.-29.1.2012;124.728571;
30.1.-5.2.2012;109.214286;
6.2.-12.2.2012;104.185714;
13.2.-19.2.2012;102.742857;
20.2.-26.2.2012;104.342857;
27.2.-4.3.2012;106.514286;
5.3.-11.3.2012;136.657143;
12.3.-18.3.2012;111.357143;
19.3.-25.3.2012;101.100000;
26.3.-1.4.2012;107.485714;
2.4.-8.4.2012;100.342857;
9.4.-15.4.2012;96.814286;
16.4.-22.4.2012;132.628571;
23.4.-29.4.2012;126.871429;
30.4.-6.5.2012;116.314286;
7.5.-13.5.2012;130.971429;
14.5.-20.5.2012;134.514286;
21.5.-27.5.2012;119.728571;
28.5.-3.6.2012;122.228571;
4.6.-10.6.2012;136.528571;
11.6.-17.6.2012;142.985714;
18.6.-24.6.2012;101.385714;
25.6.-1.7.2012;116.428571;
2.7.-8.7.2012;167.314286;
9.7.-15.7.2012;163.828571;
16.7.-22.7.2012;113.185714;
23.7.-29.7.2012;117.928571;
30.7.-5.8.2012;143.100000;
6.8.-12.8.2012;129.842857;
13.8.-19.8.2012;102.685714;
20.8.-26.8.2012;102.957143;
27.8.-2.9.2012;129.100000;
3.9.-9.9.2012;134.214286;
10.9.-16.9.2012;103.128571;
17.9.-23.9.2012;116.357143;
24.9.-30.9.2012;137.471429;
1.10.-7.10.2012;110.085714;
8.10.-14.10.2012;116.257143;
15.10.-21.10.2012;139.400000;
22.10.-28.10.2012;131.614286;
29.10.-4.11.2012;98.757143;
5.11.-11.11.2012;108.157143;
12.11.-18.11.2012;138.128571;
19.11.-25.11.2012;126.700000;
26.11.-2.12.2012;107.857143;
3.12.-9.12.2012;95.357143;
10.12.-16.12.2012;110.371429;
17.12.-23.12.2012;110.985714;
24.12.-31.12.2012;105.537500;
