Date;Solar;
1.1.-9.1.2011;86.468981;
10.1.-16.1.2011;78.128571;
17.1.-23.1.2011;80.971429;
24.1.-30.1.2011;78.700000;
31.1.-6.2.2011;78.300000;
7.2.-13.2.2011;89.842857;
14.2.-20.2.2011;110.071429;
21.2.-27.2.2011;88.785714;
28.2.-6.3.2011;118.600000;
7.3.-13.3.2011;134.142857;
14.3.-20.3.2011;95.057143;
21.3.-27.3.2011;107.314286;
28.3.-3.4.2011;113.500000;
4.4.-10.4.2011;110.171429;
11.4.-17.4.2011;117.200000;
18.4.-24.4.2011;115.842857;
25.4.-1.5.2011;110.785714;
2.5.-8.5.2011;106.800000;
9.5.-15.5.2011;97.042857;
16.5.-22.5.2011;89.285714;
23.5.-29.5.2011;92.385714;
30.5.-5.6.2011;111.957143;
6.6.-12.6.2011;92.785714;
13.6.-19.6.2011;102.242857;
20.6.-26.6.2011;97.500000;
27.6.-3.7.2011;90.385714;
4.7.-10.7.2011;88.914286;
11.7.-17.7.2011;97.642857;
18.7.-24.7.2011;98.114286;
25.7.-31.7.2011;107.571429;
1.8.-7.8.2011;118.742857;
8.8.-14.8.2011;92.157143;
15.8.-21.8.2011;99.300000;
22.8.-28.8.2011;106.500000;
29.8.-4.9.2011;113.000000;
5.9.-11.9.2011;116.314286;
12.9.-18.9.2011;140.785714;
19.9.-25.9.2011;157.942857;
26.9.-2.10.2011;138.057143;
3.10.-9.10.2011;124.414286;
10.10.-16.10.2011;135.500000;
17.10.-23.10.2011;154.842857;
24.10.-30.10.2011;131.442857;
31.10.-6.11.2011;155.042857;
7.11.-13.11.2011;170.900000;
14.11.-20.11.2011;142.914286;
21.11.-27.11.2011;134.228571;
28.11.-4.12.2011;147.171429;
5.12.-11.12.2011;141.471429;
12.12.-18.12.2011;123.000000;
19.12.-25.12.2011;135.642857;
26.12.-31.12.2011;137.283333;
