Date;Ap;
1.1.-9.1.2011;6.513889;
10.1.-16.1.2011;6.821429;
17.1.-23.1.2011;4.696429;
24.1.-30.1.2011;3.857143;
31.1.-6.2.2011;10.535714;
7.2.-13.2.2011;3.660714;
14.2.-20.2.2011;8.857143;
21.2.-27.2.2011;3.017857;
28.2.-6.3.2011;12.660714;
7.3.-13.3.2011;14.000000;
14.3.-20.3.2011;3.214286;
21.3.-27.3.2011;4.910714;
28.3.-3.4.2011;8.642857;
4.4.-10.4.2011;8.964286;
11.4.-17.4.2011;8.232143;
18.4.-24.4.2011;6.875000;
25.4.-1.5.2011;9.303571;
2.5.-8.5.2011;7.767857;
9.5.-15.5.2011;5.267857;
16.5.-22.5.2011;5.750000;
23.5.-29.5.2011;15.375000;
30.5.-5.6.2011;11.392857;
6.6.-12.6.2011;8.375000;
13.6.-19.6.2011;6.035714;
20.6.-26.6.2011;9.910714;
27.6.-3.7.2011;5.339286;
4.7.-10.7.2011;8.875000;
11.7.-17.7.2011;6.428571;
18.7.-24.7.2011;10.142857;
25.7.-31.7.2011;7.196429;
1.8.-7.8.2011;13.696429;
8.8.-14.8.2011;5.767857;
15.8.-21.8.2011;5.232143;
22.8.-28.8.2011;5.625000;
29.8.-4.9.2011;5.482143;
5.9.-11.9.2011;14.571429;
12.9.-18.9.2011;13.696429;
19.9.-25.9.2011;3.732143;
26.9.-2.10.2011;21.035714;
3.10.-9.10.2011;7.821429;
10.10.-16.10.2011;4.339286;
17.10.-23.10.2011;3.642857;
24.10.-30.10.2011;11.285714;
31.10.-6.11.2011;7.160714;
7.11.-13.11.2011;3.250000;
14.11.-20.11.2011;2.500000;
21.11.-27.11.2011;5.589286;
28.11.-4.12.2011;7.750000;
5.12.-11.12.2011;3.589286;
12.12.-18.12.2011;2.375000;
19.12.-25.12.2011;4.000000;
26.12.-31.12.2011;4.333333;
