Date;Ap;
1.1.-6.1.2013;2.520833;
7.1.-13.1.2013;4.553571;
14.1.-20.1.2013;8.910714;
21.1.-27.1.2013;6.196429;
28.1.-3.2.2013;4.303571;
4.2.-10.2.2013;4.339286;
11.2.-17.2.2013;8.178571;
18.2.-24.2.2013;6.500000;
25.2.-3.3.2013;10.892857;
4.3.-10.3.2013;3.571429;
11.3.-17.3.2013;15.071429;
18.3.-24.3.2013;7.821429;
25.3.-31.3.2013;12.178571;
1.4.-7.4.2013;3.785714;
8.4.-14.4.2013;5.160714;
15.4.-21.4.2013;2.535714;
22.4.-28.4.2013;10.303571;
29.4.-5.5.2013;9.392857;
6.5.-12.5.2013;5.089286;
13.5.-19.5.2013;10.464286;
20.5.-26.5.2013;14.875000;
27.5.-2.6.2013;15.285714;
3.6.-9.6.2013;12.375000;
10.6.-16.6.2013;4.303571;
17.6.-23.6.2013;10.053571;
24.6.-30.6.2013;16.607143;
1.7.-7.7.2013;8.196429;
8.7.-14.7.2013;14.250000;
15.7.-21.7.2013;10.410714;
22.7.-28.7.2013;7.232143;
29.7.-4.8.2013;5.410714;
5.8.-11.8.2013;5.785714;
12.8.-18.8.2013;10.607143;
19.8.-25.8.2013;9.357143;
26.8.-1.9.2013;8.696429;
2.9.-8.9.2013;5.142857;
9.9.-15.9.2013;5.196429;
16.9.-22.9.2013;7.232143;
23.9.-29.9.2013;3.285714;
30.9.-6.10.2013;10.089286;
7.10.-13.10.2013;10.000000;
14.10.-20.10.2013;8.339286;
21.10.-27.10.2013;2.303571;
28.10.-3.11.2013;5.803571;
4.11.-10.11.2013;9.000000;
11.11.-17.11.2013;7.928571;
18.11.-24.11.2013;2.589286;
25.11.-1.12.2013;4.017857;
2.12.-8.12.2013;7.392857;
9.12.-15.12.2013;4.892857;
16.12.-22.12.2013;3.571429;
23.12.-31.12.2013;2.722222;
