Date;Ap;
1.1.-8.1.2017;13.312500;
9.1.-15.1.2017;6.178571;
16.1.-22.1.2017;8.214286;
23.1.-29.1.2017;8.214286;
30.1.-5.2.2017;17.089286;
6.2.-12.2.2017;6.214286;
13.2.-19.2.2017;8.732143;
20.2.-26.2.2017;8.250000;
27.2.-5.3.2017;19.553571;
6.3.-12.3.2017;12.178571;
13.3.-19.3.2017;3.178571;
20.3.-26.3.2017;10.017857;
27.3.-2.4.2017;23.232143;
3.4.-9.4.2017;10.821429;
10.4.-16.4.2017;6.232143;
17.4.-23.4.2017;21.625000;
24.4.-30.4.2017;8.250000;
1.5.-7.5.2017;4.660714;
8.5.-14.5.2017;5.660714;
15.5.-21.5.2017;11.017857;
22.5.-28.5.2017;12.035714;
29.5.-4.6.2017;5.410714;
5.6.-11.6.2017;5.357143;
12.6.-18.6.2017;9.732143;
19.6.-25.6.2017;5.089286;
26.6.-2.7.2017;7.125000;
3.7.-9.7.2017;6.660714;
10.7.-16.7.2017;10.000000;
17.7.-23.7.2017;11.732143;
24.7.-30.7.2017;6.803571;
31.7.-6.8.2017;10.071429;
7.8.-13.8.2017;5.482143;
14.8.-20.8.2017;15.000000;
21.8.-27.8.2017;10.678571;
28.8.-3.9.2017;12.464286;
4.9.-10.9.2017;26.553571;
11.9.-17.9.2017;20.035714;
18.9.-24.9.2017;8.071429;
25.9.-1.10.2017;18.839286;
2.10.-8.10.2017;5.071429;
9.10.-15.10.2017;21.410714;
16.10.-22.10.2017;7.107143;
23.10.-29.10.2017;9.982143;
30.10.-5.11.2017;3.714286;
6.11.-12.11.2017;18.357143;
13.11.-19.11.2017;8.089286;
20.11.-26.11.2017;9.785714;
27.11.-3.12.2017;5.142857;
4.12.-10.12.2017;10.357143;
11.12.-17.12.2017;8.482143;
18.12.-24.12.2017;6.392857;
25.12.-31.12.2017;5.785714;
