Date;Ap;
1.1.-5.1.2014;9.375000;
6.1.-12.1.2014;5.500000;
13.1.-19.1.2014;3.517857;
20.1.-26.1.2014;5.964286;
27.1.-2.2.2014;3.357143;
3.2.-9.2.2014;9.535714;
10.2.-16.2.2014;7.714286;
17.2.-23.2.2014;18.678571;
24.2.-2.3.2014;7.375000;
3.3.-9.3.2014;4.125000;
10.3.-16.3.2014;4.500000;
17.3.-23.3.2014;4.839286;
24.3.-30.3.2014;5.892857;
31.3.-6.4.2014;5.339286;
7.4.-13.4.2014;8.660714;
14.4.-20.4.2014;9.482143;
21.4.-27.4.2014;7.589286;
28.4.-4.5.2014;6.964286;
5.5.-11.5.2014;8.142857;
12.5.-18.5.2014;4.089286;
19.5.-25.5.2014;5.875000;
26.5.-1.6.2014;4.196429;
2.6.-8.6.2014;10.982143;
9.6.-15.6.2014;4.750000;
16.6.-22.6.2014;7.482143;
23.6.-29.6.2014;4.517857;
30.6.-6.7.2014;3.750000;
7.7.-13.7.2014;5.535714;
14.7.-20.7.2014;3.964286;
21.7.-27.7.2014;4.535714;
28.7.-3.8.2014;6.178571;
4.8.-10.8.2014;6.857143;
11.8.-17.8.2014;5.357143;
18.8.-24.8.2014;6.017857;
25.8.-31.8.2014;12.571429;
1.9.-7.9.2014;8.017857;
8.9.-14.9.2014;11.267857;
15.9.-21.9.2014;7.285714;
22.9.-28.9.2014;12.250000;
29.9.-5.10.2014;7.464286;
6.10.-12.10.2014;6.928571;
13.10.-19.10.2014;9.946429;
20.10.-26.10.2014;12.696429;
27.10.-2.11.2014;7.785714;
3.11.-9.11.2014;10.375000;
10.11.-16.11.2014;12.928571;
17.11.-23.11.2014;9.428571;
24.11.-30.11.2014;5.178571;
1.12.-7.12.2014;11.750000;
8.12.-14.12.2014;10.964286;
15.12.-21.12.2014;8.285714;
22.12.-31.12.2014;13.150000;
