Week;Usmrteni;Proton10
1.tyzden.2015;3;0.152291
2.tyzden.2015;3;0.132321
3.tyzden.2015;12;0.134226
4.tyzden.2015;9;0.133988
5.tyzden.2015;7;0.271607
6.tyzden.2015;1;0.130357
7.tyzden.2015;3;0.131845
8.tyzden.2015;5;0.204226
9.tyzden.2015;3;0.173512
tyzden.2015;5;0.822679
11.tyzden.2015;10;0.282917
12.tyzden.2015;9;0.507202
13.tyzden.2015;6;0.155655
tyzden.2015;2;0.126786
15.tyzden.2015;5;0.120000
16.tyzden.2015;4;0.125238
tyzden.2015;6;0.247143
18.tyzden.2015;12;0.145714
19.tyzden.2015;3;0.136548
20.tyzden.2015;3;0.505595
21.tyzden.2015;6;0.122262
22.tyzden.2015;6;0.130357
23.tyzden.2015;16;0.128036
24.tyzden.2015;1;0.131488
25.tyzden.2015;11;2.222024
26.tyzden.2015;10;35.122321
27.tyzden.2015;10;0.599167
28.tyzden.2015;2;0.129881
29.tyzden.2015;6;0.128571
30.tyzden.2015;7;0.130655
31.tyzden.2015;6;0.133631
32.tyzden.2015;11;0.132678
33.tyzden.2015;8;0.130357
34.tyzden.2015;9;0.133750
35.tyzden.2015;4;0.133750
36.tyzden.2015;10;0.134762
37.tyzden.2015;14;0.128393
38.tyzden.2015;8;0.167917
39.tyzden.2015;5;0.163452
40.tyzden.2015;9;0.173512
41.tyzden.2015;8;0.132679
42.tyzden.2015;17;0.132738
43.tyzden.2015;11;0.156369
44.tyzden.2015;9;1.437321
45.tyzden.2015;15;0.140476
46.tyzden.2015;15;0.254702
47.tyzden.2015;6;0.139167
48.tyzden.2015;8;0.145714
49.tyzden.2015;12;0.143810
50.tyzden.2015;8;0.137143
51.tyzden.2015;16;0.139762
52.tyzden.2015;10;0.222727
