Date;AU;
1.1.-9.1.2010;9.462963;
10.1.-16.1.2010;22.041667;
17.1.-23.1.2010;19.696428;
24.1.-30.1.2010;15.964286;
31.1.-6.2.2010;37.113095;
7.2.-13.2.2010;37.970238;
14.2.-20.2.2010;47.583333;
21.2.-27.2.2010;20.136905;
28.2.-6.3.2010;33.196428;
7.3.-13.3.2010;42.220238;
14.3.-20.3.2010;28.744048;
21.3.-27.3.2010;21.827381;
28.3.-3.4.2010;59.297619;
4.4.-10.4.2010;101.595238;
11.4.-17.4.2010;47.446429;
18.4.-24.4.2010;48.142857;
25.4.-1.5.2010;33.386905;
2.5.-8.5.2010;92.601191;
9.5.-15.5.2010;28.369048;
16.5.-22.5.2010;56.732143;
23.5.-29.5.2010;72.357143;
30.5.-5.6.2010;105.380952;
6.6.-12.6.2010;44.136905;
13.6.-19.6.2010;70.107143;
20.6.-26.6.2010;48.339286;
27.6.-3.7.2010;80.339286;
4.7.-10.7.2010;36.273810;
11.7.-17.7.2010;46.714286;
18.7.-24.7.2010;35.952381;
25.7.-31.7.2010;74.095238;
1.8.-7.8.2010;73.684524;
8.8.-14.8.2010;48.273810;
15.8.-21.8.2010;36.422619;
22.8.-28.8.2010;60.160714;
29.8.-4.9.2010;24.315476;
5.9.-11.9.2010;44.898810;
12.9.-18.9.2010;40.886905;
19.9.-25.9.2010;35.029762;
26.9.-2.10.2010;22.702381;
3.10.-9.10.2010;27.285714;
10.10.-16.10.2010;48.136905;
17.10.-23.10.2010;52.351190;
24.10.-30.10.2010;32.386905;
31.10.-6.11.2010;23.369048;
7.11.-13.11.2010;39.988095;
14.11.-20.11.2010;32.505952;
21.11.-27.11.2010;33.333333;
28.11.-4.12.2010;21.767857;
5.12.-11.12.2010;19.226191;
12.12.-18.12.2010;39.678571;
19.12.-25.12.2010;28.732143;
26.12.-31.12.2010;22.187500;
