Date;AU;
1.1.-10.1.2016;51.600000;
11.1.-17.1.2016;56.303572;
18.1.-24.1.2016;77.869048;
25.1.-31.1.2016;35.589286;
1.2.-7.2.2016;57.928571;
8.2.-14.2.2016;71.976191;
15.2.-21.2.2016;99.184524;
22.2.-28.2.2016;39.119048;
29.2.-6.3.2016;41.815476;
7.3.-13.3.2016;74.202381;
14.3.-20.3.2016;111.113095;
21.3.-27.3.2016;42.607143;
28.3.-3.4.2016;65.702381;
4.4.-10.4.2016;53.029762;
11.4.-17.4.2016;121.369048;
18.4.-24.4.2016;42.726191;
25.4.-1.5.2016;60.065476;
2.5.-8.5.2016;127.339286;
9.5.-15.5.2016;105.202381;
16.5.-22.5.2016;94.214286;
23.5.-29.5.2016;72.136905;
30.5.-5.6.2016;80.559524;
6.6.-12.6.2016;89.779762;
13.6.-19.6.2016;78.333333;
20.6.-26.6.2016;71.607143;
27.6.-3.7.2016;66.952381;
4.7.-10.7.2016;104.660714;
11.7.-17.7.2016;93.244048;
18.7.-24.7.2016;75.702381;
25.7.-31.7.2016;87.839286;
1.8.-7.8.2016;102.696429;
8.8.-14.8.2016;88.982143;
15.8.-21.8.2016;53.708333;
22.8.-28.8.2016;67.839286;
29.8.-4.9.2016;125.244048;
5.9.-11.9.2016;68.886905;
12.9.-18.9.2016;58.648810;
19.9.-25.9.2016;57.470238;
26.9.-2.10.2016;108.678572;
3.10.-9.10.2016;56.565476;
10.10.-16.10.2016;64.815476;
17.10.-23.10.2016;42.869048;
24.10.-30.10.2016;143.172619;
31.10.-6.11.2016;59.726190;
7.11.-13.11.2016;63.077381;
14.11.-20.11.2016;30.250000;
21.11.-27.11.2016;63.297619;
28.11.-4.12.2016;23.648809;
5.12.-11.12.2016;66.803572;
12.12.-18.12.2016;28.500000;
19.12.-25.12.2016;70.309524;
26.12.-31.12.2016;50.083333;
