Date;AU;
1.1.-6.1.2013;12.180556;
7.1.-13.1.2013;24.315476;
14.1.-20.1.2013;47.619048;
21.1.-27.1.2013;37.470238;
28.1.-3.2.2013;30.886905;
4.2.-10.2.2013;30.517857;
11.2.-17.2.2013;58.398810;
18.2.-24.2.2013;58.416667;
25.2.-3.3.2013;62.202381;
4.3.-10.3.2013;28.708333;
11.3.-17.3.2013;54.821429;
18.3.-24.3.2013;36.875000;
25.3.-31.3.2013;71.797619;
1.4.-7.4.2013;34.803572;
8.4.-14.4.2013;32.791667;
15.4.-21.4.2013;24.005952;
22.4.-28.4.2013;96.898810;
29.4.-5.5.2013;93.803571;
6.5.-12.5.2013;54.351190;
13.5.-19.5.2013;121.071428;
20.5.-26.5.2013;154.452381;
27.5.-2.6.2013;105.946428;
3.6.-9.6.2013;105.517857;
10.6.-16.6.2013;53.994048;
17.6.-23.6.2013;126.107143;
24.6.-30.6.2013;138.160714;
1.7.-7.7.2013;100.250000;
8.7.-14.7.2013;180.232143;
15.7.-21.7.2013;92.660714;
22.7.-28.7.2013;86.577381;
29.7.-4.8.2013;69.755952;
5.8.-11.8.2013;64.357143;
12.8.-18.8.2013;90.380952;
19.8.-25.8.2013;85.470238;
26.8.-1.9.2013;84.023810;
2.9.-8.9.2013;51.589286;
9.9.-15.9.2013;46.315476;
16.9.-22.9.2013;50.226191;
23.9.-29.9.2013;23.904762;
30.9.-6.10.2013;41.375000;
7.10.-13.10.2013;48.648809;
14.10.-20.10.2013;55.035714;
21.10.-27.10.2013;19.464286;
28.10.-3.11.2013;49.172619;
4.11.-10.11.2013;50.934524;
11.11.-17.11.2013;47.952381;
18.11.-24.11.2013;24.976191;
25.11.-1.12.2013;24.095238;
2.12.-8.12.2013;35.500000;
9.12.-15.12.2013;30.726191;
16.12.-22.12.2013;22.196429;
23.12.-31.12.2013;25.819444;
