Week;Nehodovost;Lyman
1.tyzden.2014;148;4.888000
2.tyzden.2014;195;5.035714
3.tyzden.2014;216;4.634286
4.tyzden.2014;241;4.754286
5.tyzden.2014;249;4.834286
6.tyzden.2014;200;5.107143
7.tyzden.2014;228;4.714286
8.tyzden.2014;222;4.647143
9.tyzden.2014;196;5.072857
10.tyzden.2014;228;4.968571
11.tyzden.2014;234;4.755714
12.tyzden.2014;253;4.942857
13.tyzden.2014;211;5.050000
14.tyzden.2014;219;4.905714
15.tyzden.2014;250;4.708571
16.tyzden.2014;245;5.078571
17.tyzden.2014;224;4.787143
18.tyzden.2014;256;4.620000
19.tyzden.2014;256;4.711429
20.tyzden.2014;260;4.958571
21.tyzden.2014;310;4.584286
22.tyzden.2014;247;4.408571
23.tyzden.2014;276;4.592857
24.tyzden.2014;268;4.864286
25.tyzden.2014;245;4.464286
26.tyzden.2014;281;4.224286
27.tyzden.2014;248;5.081429
28.tyzden.2014;260;5.061429
29.tyzden.2014;281;4.230000
30.tyzden.2014;263;4.161429
31.tyzden.2014;238;5.025714
32.tyzden.2014;250;4.778571
33.tyzden.2014;246;4.274286
34.tyzden.2014;248;4.495714
35.tyzden.2014;255;4.797143
36.tyzden.2014;220;4.668571
37.tyzden.2014;250;4.788571
38.tyzden.2014;236;4.612857
39.tyzden.2014;247;4.800000
40.tyzden.2014;303;4.895714
41.tyzden.2014;279;4.742857
42.tyzden.2014;304;4.612857
43.tyzden.2014;298;5.015714
44.tyzden.2014;259;4.737143
45.tyzden.2014;253;4.651429
46.tyzden.2014;260;4.814286
47.tyzden.2014;253;5.117143
48.tyzden.2014;234;4.974286
49.tyzden.2014;276;4.794286
50.tyzden.2014;273;4.917143
51.tyzden.2014;323;5.281429
52.tyzden.2014;305;4.746000
