"Year";"Correlation";"parameter"
"2012-2014";-0.0883526936477943;"Lyman alpha solar index"
"2012-2014";0.0652975312719691;"Dst index"
"2012-2014";-0.0572347119610963;"Proton flux over 30 MeV"
"2012-2014";-0.0564606424160569;"Proton flux over 60 MeV"
"2012-2014";-0.0535264740487087;"Proton flux over 10 MeV"
"2012-2014";-0.0387406551039946;"Solar wind speed"
"2012-2014";-0.0231016630218866;"Solar wind temperature"
"2012-2014";-0.0182603552868414;"Polar cap north (Thule)"
"2012-2014";-0.0176421091875834;"Polar cap south (Vostok)"
"2012-2014";-0.0164266903923509;"Ap index"
"2012-2014";-0.0135119567555117;"Solar wind density"
"2012-2014";-0.0121209670436952;"Solar index_F10.7"
"2012-2014";-0.00651063649469938;"Kp index"
"2012-2014";0.00430191021421583;"R sunspot number"
