"Year";"Correlation"
2010;-0.0547153478812729
2011;-0.0470225017405888
2012;-0.129323357430318
2013;-0.0359277838308266
2014;-0.0497036052317922
2015;0.0374675458172839
2016;-0.0584104453267065
