Date;Proton10;
1.1.-8.1.2017;0.178437;
9.1.-15.1.2017;0.178274;
16.1.-22.1.2017;0.172024;
23.1.-29.1.2017;0.174702;
30.1.-5.2.2017;0.173929;
6.2.-12.2.2017;0.177441;
13.2.-19.2.2017;0.176548;
20.2.-26.2.2017;0.175179;
27.2.-5.3.2017;0.175357;
6.3.-12.3.2017;0.180060;
13.3.-19.3.2017;0.178572;
20.3.-26.3.2017;0.174881;
27.3.-2.4.2017;0.174881;
3.4.-9.4.2017;0.174107;
10.4.-16.4.2017;0.182202;
17.4.-23.4.2017;0.180298;
24.4.-30.4.2017;0.177202;
1.5.-7.5.2017;0.177322;
8.5.-14.5.2017;0.184464;
15.5.-21.5.2017;0.181310;
22.5.-28.5.2017;0.178333;
29.5.-4.6.2017;0.176667;
5.6.-11.6.2017;0.179405;
12.6.-18.6.2017;0.499226;
19.6.-25.6.2017;0.180060;
26.6.-2.7.2017;0.176250;
3.7.-9.7.2017;0.181071;
10.7.-16.7.2017;1.807798;
17.7.-23.7.2017;0.185774;
24.7.-30.7.2017;0.307321;
31.7.-6.8.2017;0.174583;
7.8.-13.8.2017;0.175357;
14.8.-20.8.2017;0.174226;
21.8.-27.8.2017;0.177262;
28.8.-3.9.2017;0.185000;
4.9.-10.9.2017;69.449702;
11.9.-17.9.2017;185.598750;
18.9.-24.9.2017;0.213274;
25.9.-1.10.2017;0.163690;
2.10.-8.10.2017;0.167440;
9.10.-15.10.2017;0.172143;
16.10.-22.10.2017;0.171369;
23.10.-29.10.2017;0.170298;
30.10.-5.11.2017;0.176369;
6.11.-12.11.2017;0.177143;
13.11.-19.11.2017;0.179941;
20.11.-26.11.2017;0.184226;
27.11.-3.12.2017;0.217559;
4.12.-10.12.2017;0.230476;
11.12.-17.12.2017;0.241786;
18.12.-24.12.2017;0.249047;
25.12.-31.12.2017;0.240417;
