Date;Proton10;
1.1.-4.1.2015;0.152291;
5.1.-11.1.2015;0.132321;
12.1.-18.1.2015;0.134226;
19.1.-25.1.2015;0.133988;
26.1.-1.2.2015;0.271607;
2.2.-8.2.2015;0.130357;
9.2.-15.2.2015;0.131845;
16.2.-22.2.2015;0.204226;
23.2.-1.3.2015;0.195476;
2.3.-8.3.2015;0.452202;
9.3.-15.3.2015;0.282917;
16.3.-22.3.2015;0.507202;
23.3.-29.3.2015;0.154821;
30.3.-5.4.2015;0.126786;
6.4.-12.4.2015;0.119881;
13.4.-19.4.2015;0.125238;
20.4.-26.4.2015;0.247143;
27.4.-3.5.2015;0.648333;
4.5.-10.5.2015;0.167024;
11.5.-17.5.2015;0.505595;
18.5.-24.5.2015;0.122262;
25.5.-31.5.2015;0.130357;
1.6.-7.6.2015;0.127024;
8.6.-14.6.2015;0.131488;
15.6.-21.6.2015;2.221964;
22.6.-28.6.2015;35.122321;
29.6.-5.7.2015;0.599167;
6.7.-12.7.2015;0.129881;
13.7.-19.7.2015;0.128571;
20.7.-26.7.2015;0.130655;
27.7.-2.8.2015;0.132798;
3.8.-9.8.2015;0.132678;
10.8.-16.8.2015;0.130357;
17.8.-23.8.2015;0.133750;
24.8.-30.8.2015;0.133750;
31.8.-6.9.2015;0.134762;
7.9.-13.9.2015;0.128393;
14.9.-20.9.2015;0.167917;
21.9.-27.9.2015;0.163452;
28.9.-4.10.2015;0.173452;
5.10.-11.10.2015;0.132679;
12.10.-18.10.2015;0.132738;
19.10.-25.10.2015;0.156369;
26.10.-1.11.2015;1.437321;
2.11.-8.11.2015;0.140476;
9.11.-15.11.2015;0.254702;
16.11.-22.11.2015;0.139167;
23.11.-29.11.2015;0.145714;
30.11.-6.12.2015;0.143810;
7.12.-13.12.2015;0.137143;
14.12.-20.12.2015;0.139762;
21.12.-31.12.2015;0.222727;
