"Year";"Correlation";"parameter"
2011;-0.212115366404753;"Proton flux over 10 MeV"
2011;-0.205244027344284;"Solar index_F10.7"
2011;-0.162272106168498;"R sunspot number"
2011;0.104590447478333;"Dst index"
2011;-0.104362838636551;"Solar wind temperature"
2011;0.0811400558815131;"AL index"
2011;0.0793515526332757;"Solar wind speed"
2011;-0.0715920108945092;"AE index"
2011;-0.0589666327195635;"Proton flux over 30 MeV"
2011;-0.0516814594269238;"AU index"
2011;-0.0498971159685773;"Solar wind density"
2011;-0.0464641853306649;"Ap index"
2011;-0.03836529164522;"Lyman alpha solar index"
2011;0.010452826229345;"Proton flux over 60 MeV"
2011;-0.00869925542881725;"Kp index"
