Week;Usmrteni;AE
50.tyzden.2015;8;232.934524
51.tyzden.2015;16;238.666667
52.tyzden.2015;10;186.359849
1.tyzden.2016;6;158.550000
2.tyzden.2016;11;133.160714
3.tyzden.2016;7;219.059524
4.tyzden.2016;6;92.767857
5.tyzden.2016;6;165.505952
6.tyzden.2016;4;165.750000
7.tyzden.2016;4;292.916667
8.tyzden.2016;7;87.880952
9.tyzden.2016;3;110.190476
10.tyzden.2016;0;200.315476
11.tyzden.2016;3;312.732143
12.tyzden.2016;2;98.720238
13.tyzden.2016;6;184.297619
14.tyzden.2016;0;129.113095
15.tyzden.2016;13;333.613095
16.tyzden.2016;3;98.035714
17.tyzden.2016;7;149.750000
18.tyzden.2016;3;353.291667
19.tyzden.2016;11;265.946428
20.tyzden.2016;5;205.095238
21.tyzden.2016;4;153.976191
22.tyzden.2016;2;180.797619
23.tyzden.2016;9;212.029762
24.tyzden.2016;7;177.500000
25.tyzden.2016;6;169.470238
26.tyzden.2016;11;146.541667
27.tyzden.2016;8;233.625000
28.tyzden.2016;9;246.672619
29.tyzden.2016;8;154.553571
30.tyzden.2016;5;211.166667
31.tyzden.2016;9;266.714286
32.tyzden.2016;3;230.476191
33.tyzden.2016;7;125.928571
34.tyzden.2016;5;182.053571
35.tyzden.2016;8;395.755952
36.tyzden.2016;5;208.875000
37.tyzden.2016;18;128.220238
38.tyzden.2016;11;138.267857
39.tyzden.2016;10;448.708333
40.tyzden.2016;4;195.178571
41.tyzden.2016;8;240.154762
42.tyzden.2016;9;134.119048
43.tyzden.2016;10;504.458333
44.tyzden.2016;8;190.601191
45.tyzden.2016;2;181.630952
46.tyzden.2016;8;79.750000
47.tyzden.2016;13;267.392857
48.tyzden.2016;8;70.434524
49.tyzden.2016;8;209.916667
50.tyzden.2016;9;73.785714
51.tyzden.2016;8;286.934524
52.tyzden.2016;4;168.486111
