Date;Density;
1.1.-10.1.2016;5.146667;
11.1.-17.1.2016;4.029762;
18.1.-24.1.2016;9.631548;
25.1.-31.1.2016;8.819048;
1.2.-7.2.2016;10.776190;
8.2.-14.2.2016;9.239881;
15.2.-21.2.2016;6.504167;
22.2.-28.2.2016;8.530357;
29.2.-6.3.2016;8.948810;
7.3.-13.3.2016;8.131548;
14.3.-20.3.2016;5.407143;
21.3.-27.3.2016;7.090476;
28.3.-3.4.2016;5.301786;
4.4.-10.4.2016;8.888095;
11.4.-17.4.2016;8.705357;
18.4.-24.4.2016;6.591071;
25.4.-1.5.2016;6.008333;
2.5.-8.5.2016;6.133333;
9.5.-15.5.2016;5.350000;
16.5.-22.5.2016;5.108333;
23.5.-29.5.2016;5.054762;
30.5.-5.6.2016;7.872619;
6.6.-12.6.2016;5.992262;
13.6.-19.6.2016;3.892262;
20.6.-26.6.2016;5.559524;
27.6.-3.7.2016;7.829762;
4.7.-10.7.2016;7.376786;
11.7.-17.7.2016;3.307143;
18.7.-24.7.2016;5.298214;
25.7.-31.7.2016;9.042857;
1.8.-7.8.2016;6.586310;
8.8.-14.8.2016;3.119048;
15.8.-21.8.2016;8.163095;
22.8.-28.8.2016;5.239881;
29.8.-4.9.2016;6.623810;
5.9.-11.9.2016;3.773810;
12.9.-18.9.2016;11.416071;
19.9.-25.9.2016;7.378571;
26.9.-2.10.2016;4.313690;
3.10.-9.10.2016;4.311905;
10.10.-16.10.2016;6.969643;
17.10.-23.10.2016;5.344048;
24.10.-30.10.2016;5.167857;
31.10.-6.11.2016;6.482738;
7.11.-13.11.2016;10.313095;
14.11.-20.11.2016;6.115476;
21.11.-27.11.2016;6.165476;
28.11.-4.12.2016;7.665476;
5.12.-11.12.2016;9.345238;
12.12.-18.12.2016;5.515476;
19.12.-25.12.2016;5.207143;
26.12.-31.12.2016;6.529167;
