Date;Density;
1.1.-9.1.2010;6.666667;
10.1.-16.1.2010;6.101786;
17.1.-23.1.2010;6.102976;
24.1.-30.1.2010;4.847024;
31.1.-6.2.2010;3.832143;
7.2.-13.2.2010;5.013690;
14.2.-20.2.2010;5.117262;
21.2.-27.2.2010;4.380953;
28.2.-6.3.2010;6.841071;
7.3.-13.3.2010;3.827976;
14.3.-20.3.2010;4.497619;
21.3.-27.3.2010;6.547619;
28.3.-3.4.2010;4.943452;
4.4.-10.4.2010;3.053571;
11.4.-17.4.2010;5.430952;
18.4.-24.4.2010;5.942857;
25.4.-1.5.2010;5.407143;
2.5.-8.5.2010;4.159524;
9.5.-15.5.2010;4.538691;
16.5.-22.5.2010;6.526786;
23.5.-29.5.2010;8.092857;
30.5.-5.6.2010;3.376786;
6.6.-12.6.2010;5.238690;
13.6.-19.6.2010;5.245238;
20.6.-26.6.2010;7.315476;
27.6.-3.7.2010;2.794048;
4.7.-10.7.2010;3.256548;
11.7.-17.7.2010;7.272619;
18.7.-24.7.2010;7.237500;
25.7.-31.7.2010;3.523810;
1.8.-7.8.2010;3.712500;
8.8.-14.8.2010;3.744048;
15.8.-21.8.2010;5.847024;
22.8.-28.8.2010;6.135714;
29.8.-4.9.2010;2.753571;
5.9.-11.9.2010;3.565476;
12.9.-18.9.2010;4.890476;
19.9.-25.9.2010;5.339286;
26.9.-2.10.2010;2.602976;
3.10.-9.10.2010;7.113095;
10.10.-16.10.2010;10.797619;
17.10.-23.10.2010;5.262500;
24.10.-30.10.2010;2.801786;
31.10.-6.11.2010;9.255357;
7.11.-13.11.2010;7.557738;
14.11.-20.11.2010;3.254762;
21.11.-27.11.2010;5.114881;
28.11.-4.12.2010;7.850595;
5.12.-11.12.2010;7.890476;
12.12.-18.12.2010;4.823810;
19.12.-25.12.2010;6.253571;
26.12.-31.12.2010;6.211805;
