Date;Density;
1.1.-8.1.2017;5.597396;
9.1.-15.1.2017;6.678571;
16.1.-22.1.2017;8.254167;
23.1.-29.1.2017;6.014881;
30.1.-5.2.2017;4.385119;
6.2.-12.2.2017;4.941667;
13.2.-19.2.2017;9.926190;
20.2.-26.2.2017;5.291071;
27.2.-5.3.2017;5.713690;
6.3.-12.3.2017;4.092262;
13.3.-19.3.2017;8.226786;
20.3.-26.3.2017;6.097024;
27.3.-2.4.2017;4.092262;
3.4.-9.4.2017;6.700000;
10.4.-16.4.2017;6.030952;
17.4.-23.4.2017;7.647619;
24.4.-30.4.2017;3.032738;
1.5.-7.5.2017;7.933929;
8.5.-14.5.2017;11.845238;
15.5.-21.5.2017;6.488691;
22.5.-28.5.2017;5.985714;
29.5.-4.6.2017;6.760119;
5.6.-11.6.2017;10.350000;
12.6.-18.6.2017;5.092857;
19.6.-25.6.2017;5.783929;
26.6.-2.7.2017;5.821429;
3.7.-9.7.2017;8.004167;
10.7.-16.7.2017;5.564881;
17.7.-23.7.2017;3.633333;
24.7.-30.7.2017;3.248810;
31.7.-6.8.2017;6.827976;
7.8.-13.8.2017;4.058928;
14.8.-20.8.2017;4.808333;
21.8.-27.8.2017;5.047024;
28.8.-3.9.2017;6.244643;
4.9.-10.9.2017;3.574405;
11.9.-17.9.2017;5.890476;
18.9.-24.9.2017;5.837500;
25.9.-1.10.2017;6.286309;
2.10.-8.10.2017;6.123214;
9.10.-15.10.2017;6.674405;
16.10.-22.10.2017;6.519048;
23.10.-29.10.2017;6.583929;
30.10.-5.11.2017;9.402381;
6.11.-12.11.2017;6.591667;
13.11.-19.11.2017;7.480357;
20.11.-26.11.2017;7.477381;
27.11.-3.12.2017;6.776190;
4.12.-10.12.2017;7.425595;
11.12.-17.12.2017;8.352976;
18.12.-24.12.2017;6.913690;
25.12.-31.12.2017;6.565476;
