Date;Density;
1.1.-8.1.2012;5.939583;
9.1.-15.1.2012;5.175595;
16.1.-22.1.2012;8.545833;
23.1.-29.1.2012;3.632143;
30.1.-5.2.2012;6.776786;
6.2.-12.2.2012;5.746428;
13.2.-19.2.2012;8.641667;
20.2.-26.2.2012;4.889881;
27.2.-4.3.2012;6.244643;
5.3.-11.3.2012;5.863095;
12.3.-18.3.2012;3.200595;
19.3.-25.3.2012;5.346428;
26.3.-1.4.2012;7.744048;
2.4.-8.4.2012;7.289286;
9.4.-15.4.2012;6.143452;
16.4.-22.4.2012;6.574405;
23.4.-29.4.2012;4.920238;
30.4.-6.5.2012;6.196429;
7.5.-13.5.2012;5.628571;
14.5.-20.5.2012;4.641071;
21.5.-27.5.2012;4.498214;
28.5.-3.6.2012;7.688095;
4.6.-10.6.2012;2.700595;
11.6.-17.6.2012;6.457143;
18.6.-24.6.2012;2.021429;
25.6.-1.7.2012;5.882738;
2.7.-8.7.2012;4.490476;
9.7.-15.7.2012;5.053571;
16.7.-22.7.2012;2.991667;
23.7.-29.7.2012;5.825000;
30.7.-5.8.2012;4.498214;
6.8.-12.8.2012;6.308929;
13.8.-19.8.2012;5.278571;
20.8.-26.8.2012;4.427976;
27.8.-2.9.2012;3.340476;
3.9.-9.9.2012;6.158333;
10.9.-16.9.2012;6.189286;
17.9.-23.9.2012;4.401190;
24.9.-30.9.2012;6.246428;
1.10.-7.10.2012;6.554167;
8.10.-14.10.2012;4.902381;
15.10.-21.10.2012;3.054762;
22.10.-28.10.2012;4.100595;
29.10.-4.11.2012;8.057143;
5.11.-11.11.2012;7.191071;
12.11.-18.11.2012;5.718452;
19.11.-25.11.2012;5.130953;
26.11.-2.12.2012;5.548214;
3.12.-9.12.2012;7.295833;
10.12.-16.12.2012;8.960119;
17.12.-23.12.2012;3.887500;
24.12.-31.12.2012;7.229688;
