"Year";"Correlation";"parameter"
"2010-2012";-0.284249397326012;"Solar index_F10.7"
"2010-2012";-0.243591910909445;"Lyman alpha solar index"
"2010-2012";-0.228421393317741;"R sunspot number"
"2010-2012";-0.158826402990864;"Ap index"
"2010-2012";-0.158768877874499;"Kp index"
"2010-2012";-0.13157492836015;"AU index"
"2010-2012";-0.131342206543096;"Polar cap south (Vostok)"
"2010-2012";-0.125918745886641;"AE index"
"2010-2012";0.117295210920297;"AL index"
"2010-2012";-0.113519604125081;"Polar cap north (Thule)"
"2010-2012";-0.105537987265437;"Proton flux over 10 MeV"
"2010-2012";-0.104737040794456;"Proton flux over 30 MeV"
"2010-2012";-0.098506895484842;"Solar wind density"
"2010-2012";-0.0948948949361565;"Proton flux over 60 MeV"
"2010-2012";0.0940681724828215;"Dst index"
"2010-2012";-0.0127341242550248;"Solar wind speed"
"2010-2012";-0.00665743323623135;"Solar wind temperature"
