Week;Nehodovost;Kp
1.tyzden.2017;216;26.546875
2.tyzden.2017;252;14.696429
3.tyzden.2017;210;17.946429
4.tyzden.2017;188;16.767857
5.tyzden.2017;242;29.946429
6.tyzden.2017;218;14.928571
7.tyzden.2017;240;17.339286
8.tyzden.2017;203;17.589286
9.tyzden.2017;228;30.714286
10.tyzden.2017;185;23.410714
11.tyzden.2017;217;7.535714
12.tyzden.2017;223;17.303571
13.tyzden.2017;279;34.035714
14.tyzden.2017;226;21.267857
15.tyzden.2017;257;14.196429
16.tyzden.2017;208;28.839286
17.tyzden.2017;244;19.017857
18.tyzden.2017;267;10.982143
19.tyzden.2017;258;14.250000
20.tyzden.2017;276;23.071429
21.tyzden.2017;305;16.125000
22.tyzden.2017;294;11.642857
23.tyzden.2017;266;11.303571
24.tyzden.2017;263;19.607143
25.tyzden.2017;274;12.517857
26.tyzden.2017;343;15.678571
27.tyzden.2017;272;12.553571
28.tyzden.2017;295;14.857143
29.tyzden.2017;287;21.696429
30.tyzden.2017;272;15.696429
31.tyzden.2017;307;19.357143
32.tyzden.2017;268;13.767857
33.tyzden.2017;270;24.553571
34.tyzden.2017;257;20.660714
35.tyzden.2017;261;21.482143
36.tyzden.2017;236;26.571429
37.tyzden.2017;316;30.982143
38.tyzden.2017;273;17.803571
39.tyzden.2017;270;26.482143
40.tyzden.2017;265;11.625000
41.tyzden.2017;261;29.089286
42.tyzden.2017;291;17.035714
43.tyzden.2017;311;18.750000
44.tyzden.2017;218;8.767857
45.tyzden.2017;279;26.214286
46.tyzden.2017;271;18.446429
47.tyzden.2017;322;18.928571
48.tyzden.2017;303;11.964286
49.tyzden.2017;339;19.375000
50.tyzden.2017;297;17.142857
51.tyzden.2017;311;13.678571
52.tyzden.2017;211;13.625000
