Week;Nehodovost;Kp
1.tyzden.2015;103;22.343750
2.tyzden.2015;103;24.857143
3.tyzden.2015;259;14.571429
4.tyzden.2015;217;15.607143
5.tyzden.2015;240;23.500000
6.tyzden.2015;205;24.160714
7.tyzden.2015;239;11.232143
8.tyzden.2015;220;20.910714
9.tyzden.2015;181;22.285714
tyzden.2015;206;25.107143
11.tyzden.2015;225;14.678571
12.tyzden.2015;221;36.964286
13.tyzden.2015;236;23.250000
tyzden.2015;211;19.767857
15.tyzden.2015;213;19.214286
16.tyzden.2015;240;28.589286
tyzden.2015;257;14.928571
18.tyzden.2015;230;12.964286
19.tyzden.2015;220;18.696429
20.tyzden.2015;251;23.982143
21.tyzden.2015;256;12.642857
22.tyzden.2015;287;12.053571
23.tyzden.2015;310;8.071429
24.tyzden.2015;282;26.500000
25.tyzden.2015;258;16.250000
26.tyzden.2015;256;32.500000
27.tyzden.2015;273;14.321429
28.tyzden.2015;246;18.250000
29.tyzden.2015;275;14.964286
30.tyzden.2015;284;17.392857
31.tyzden.2015;235;20.625000
32.tyzden.2015;266;20.428571
33.tyzden.2015;269;24.071429
34.tyzden.2015;295;26.017857
35.tyzden.2015;272;29.428571
36.tyzden.2015;276;20.428571
37.tyzden.2015;269;36.053571
38.tyzden.2015;264;28.357143
39.tyzden.2015;285;16.625000
40.tyzden.2015;285;17.642857
41.tyzden.2015;261;36.410714
42.tyzden.2015;296;27.982143
43.tyzden.2015;274;16.375000
44.tyzden.2015;287;10.535714
45.tyzden.2015;279;29.928571
46.tyzden.2015;285;27.428571
47.tyzden.2015;260;15.178571
48.tyzden.2015;283;7.910714
49.tyzden.2015;284;22.446429
50.tyzden.2015;292;26.392857
51.tyzden.2015;302;23.803571
52.tyzden.2015;349;23.340909
