Week;Nehodovost;Kp
1.tyzden.2016;241;20.487500
2.tyzden.2016;251;17.375000
3.tyzden.2016;235;25.214286
4.tyzden.2016;228;8.678571
5.tyzden.2016;219;16.571429
6.tyzden.2016;241;19.500000
7.tyzden.2016;239;28.517857
8.tyzden.2016;191;10.875000
9.tyzden.2016;208;15.214286
10.tyzden.2016;210;21.214286
11.tyzden.2016;235;27.392857
12.tyzden.2016;207;15.428571
13.tyzden.2016;175;19.625000
14.tyzden.2016;239;13.928571
15.tyzden.2016;257;26.250000
16.tyzden.2016;246;14.250000
17.tyzden.2016;236;15.267857
18.tyzden.2016;245;26.875000
19.tyzden.2016;269;21.178571
20.tyzden.2016;218;20.571429
21.tyzden.2016;277;13.482143
22.tyzden.2016;260;15.642857
23.tyzden.2016;289;18.910714
24.tyzden.2016;294;19.303571
25.tyzden.2016;302;17.517857
26.tyzden.2016;293;14.875000
27.tyzden.2016;256;20.696429
28.tyzden.2016;277;21.482143
29.tyzden.2016;236;16.982143
30.tyzden.2016;255;17.250000
31.tyzden.2016;251;26.267857
32.tyzden.2016;277;19.535714
33.tyzden.2016;274;11.660714
34.tyzden.2016;281;17.321429
35.tyzden.2016;231;31.892857
36.tyzden.2016;318;18.767857
37.tyzden.2016;299;11.607143
38.tyzden.2016;277;18.089286
39.tyzden.2016;246;37.107143
40.tyzden.2016;253;20.517857
41.tyzden.2016;252;23.142857
42.tyzden.2016;293;15.357143
43.tyzden.2016;260;38.053571
44.tyzden.2016;233;17.964286
45.tyzden.2016;275;20.821429
46.tyzden.2016;281;9.625000
47.tyzden.2016;280;25.250000
48.tyzden.2016;279;7.892857
49.tyzden.2016;300;24.892857
50.tyzden.2016;284;9.535714
51.tyzden.2016;275;26.607143
52.tyzden.2016;194;18.708333
