Week;Zraneni;
1.tyzden.2016;9;
2.tyzden.2016;18;
3.tyzden.2016;8;
4.tyzden.2016;16;
5.tyzden.2016;8;
6.tyzden.2016;11;
7.tyzden.2016;13;
8.tyzden.2016;16;
9.tyzden.2016;8;
10.tyzden.2016;7;
11.tyzden.2016;18;
12.tyzden.2016;6;
13.tyzden.2016;12;
14.tyzden.2016;12;
15.tyzden.2016;11;
16.tyzden.2016;14;
17.tyzden.2016;20;
18.tyzden.2016;11;
19.tyzden.2016;10;
20.tyzden.2016;12;
21.tyzden.2016;15;
22.tyzden.2016;20;
23.tyzden.2016;24;
24.tyzden.2016;14;
25.tyzden.2016;16;
26.tyzden.2016;15;
27.tyzden.2016;16;
28.tyzden.2016;27;
29.tyzden.2016;9;
30.tyzden.2016;12;
31.tyzden.2016;25;
32.tyzden.2016;27;
33.tyzden.2016;30;
34.tyzden.2016;15;
35.tyzden.2016;23;
36.tyzden.2016;24;
37.tyzden.2016;30;
38.tyzden.2016;18;
39.tyzden.2016;13;
40.tyzden.2016;19;
41.tyzden.2016;11;
42.tyzden.2016;16;
43.tyzden.2016;16;
44.tyzden.2016;17;
45.tyzden.2016;16;
46.tyzden.2016;17;
47.tyzden.2016;23;
48.tyzden.2016;13;
49.tyzden.2016;12;
50.tyzden.2016;21;
51.tyzden.2016;12;
52.tyzden.2016;9;
