Week;Usmrteni;
1.tyzden.2016;6;
2.tyzden.2016;11;
3.tyzden.2016;7;
4.tyzden.2016;6;
5.tyzden.2016;6;
6.tyzden.2016;4;
7.tyzden.2016;4;
8.tyzden.2016;7;
9.tyzden.2016;3;
10.tyzden.2016;0;
11.tyzden.2016;3;
12.tyzden.2016;2;
13.tyzden.2016;6;
14.tyzden.2016;0;
15.tyzden.2016;13;
16.tyzden.2016;3;
17.tyzden.2016;7;
18.tyzden.2016;3;
19.tyzden.2016;11;
20.tyzden.2016;5;
21.tyzden.2016;4;
22.tyzden.2016;2;
23.tyzden.2016;9;
24.tyzden.2016;7;
25.tyzden.2016;6;
26.tyzden.2016;11;
27.tyzden.2016;8;
28.tyzden.2016;9;
29.tyzden.2016;8;
30.tyzden.2016;5;
31.tyzden.2016;9;
32.tyzden.2016;3;
33.tyzden.2016;7;
34.tyzden.2016;5;
35.tyzden.2016;8;
36.tyzden.2016;5;
37.tyzden.2016;18;
38.tyzden.2016;11;
39.tyzden.2016;10;
40.tyzden.2016;4;
41.tyzden.2016;8;
42.tyzden.2016;9;
43.tyzden.2016;10;
44.tyzden.2016;8;
45.tyzden.2016;2;
46.tyzden.2016;8;
47.tyzden.2016;13;
48.tyzden.2016;8;
49.tyzden.2016;8;
50.tyzden.2016;9;
51.tyzden.2016;8;
52.tyzden.2016;4;
