"Year";"Correlation";"parameter"
"all";-0.159568999584471;"Lyman alpha solar index"
"all";-0.127415600532712;"Solar index_F10.7"
"all";-0.119312467517291;"Solar wind density"
"all";-0.115081016323757;"Kp index"
"all";-0.0966860228970541;"Ap index"
"all";-0.0832311458348951;"R sunspot number"
"all";0.0735700734380253;"Dst index"
"all";-0.0526756570380438;"Solar wind temperature"
"all";-0.0325654030506849;"Proton flux over 10 MeV"
"all";-0.0269985540364563;"Solar wind speed"
"all";-0.0218325954906616;"Proton flux over 30 MeV"
"all";-0.0151618795068325;"Proton flux over 60 MeV"
